,CurveSetCode,BandGapValue
0,0,"{0: 1.73859182, 1: 1.73274173, 2: 1.72691095, 3: 1.72107865, 4: 1.71524364, 5: 1.70941681, 6: 1.70352086, 7: 1.69763538, 15: 1.74446596, 14: 1.75027084, 13: 1.7561237, 12: 1.76198683, 11: 1.76780626, 10: 1.77367148, 9: 1.77949627, 8: 1.78539624}"
1,1,"{0: 1.74063144, 1: 1.73480484, 2: 1.72891355, 3: 1.72304799, 4: 1.71718089, 5: 1.71140141, 6: 1.7055208, 7: 1.69961936, 15: 1.7464483, 14: 1.7523089, 13: 1.75817683, 12: 1.76396797, 11: 1.76984829, 10: 1.77570097, 9: 1.7816218, 8: 1.78748481}"
2,2,"{0: 1.74293249, 1: 1.7371248, 2: 1.73122762, 3: 1.7253358, 4: 1.71950762, 5: 1.71371263, 6: 1.70776353, 7: 1.70189069, 15: 1.74881891, 14: 1.75468729, 13: 1.76050979, 12: 1.76630516, 11: 1.77216509, 10: 1.77806524, 9: 1.78379105, 8: 1.78977306}"
3,3,"{0: 1.74549599, 1: 1.73966877, 2: 1.73374041, 3: 1.72784882, 4: 1.72201962, 5: 1.71617728, 6: 1.71029174, 7: 1.70434953, 15: 1.7513026, 14: 1.7571917, 13: 1.76306826, 12: 1.768896, 11: 1.77475575, 10: 1.78060882, 9: 1.78645914, 8: 1.79237452}"
4,4,"{0: 1.74821771, 1: 1.74237802, 2: 1.73651079, 3: 1.73066023, 4: 1.72480711, 5: 1.71892903, 6: 1.71296335, 7: 1.70708866, 15: 1.75407708, 14: 1.75994785, 13: 1.76580451, 12: 1.77167082, 11: 1.77756958, 10: 1.78354433, 9: 1.78939954, 8: 1.79522288}"
5,5,"{0: 1.75136458, 1: 1.74546876, 2: 1.73954478, 3: 1.73375291, 4: 1.72784231, 5: 1.72190096, 6: 1.7159562, 7: 1.71009951, 15: 1.75723547, 14: 1.76307801, 13: 1.76898644, 12: 1.774848, 11: 1.78075804, 10: 1.78665618, 9: 1.79248628, 8: 1.79840846}"
6,6,"{0: 1.75487037, 1: 1.74896065, 2: 1.74304703, 3: 1.7371714, 4: 1.73128052, 5: 1.72538723, 6: 1.71940044, 7: 1.71348959, 15: 1.76071039, 14: 1.76665784, 13: 1.77250889, 12: 1.7784121, 11: 1.78429009, 10: 1.79024686, 9: 1.79610037, 8: 1.80202145}"
7,7,"{0: 1.75877524, 1: 1.75285219, 2: 1.74693774, 3: 1.74101239, 4: 1.7351017, 5: 1.7292295, 6: 1.72328691, 7: 1.71736095, 15: 1.76465531, 14: 1.7706117, 13: 1.7765182, 12: 1.78240356, 11: 1.78835747, 10: 1.79426204, 9: 1.80012869, 8: 1.80604291}"
8,8,"{0: 1.76324221, 1: 1.75731838, 2: 1.75140785, 3: 1.74545482, 4: 1.73947855, 5: 1.7335466, 6: 1.7276258, 7: 1.72171586, 15: 1.76909457, 14: 1.77503942, 13: 1.78098876, 12: 1.78685458, 11: 1.79279862, 10: 1.79872571, 9: 1.80467445, 8: 1.81061712}"
9,9,"{0: 1.76828642, 1: 1.76231312, 2: 1.75639758, 3: 1.7504453, 4: 1.74452018, 5: 1.73854893, 6: 1.73256374, 7: 1.72660912, 15: 1.77417075, 14: 1.78008594, 13: 1.78604104, 12: 1.79196192, 11: 1.79792957, 10: 1.80390752, 9: 1.80980711, 8: 1.81572098}"
10,10,"{0: 1.77415446, 1: 1.76818048, 2: 1.76223452, 3: 1.75624286, 4: 1.75029445, 5: 1.74434483, 6: 1.73835102, 7: 1.7323733, 15: 1.78007477, 14: 1.78605547, 13: 1.79199769, 12: 1.79792752, 11: 1.80386153, 10: 1.80987822, 9: 1.81578806, 8: 1.82179041}"
11,11,"{0: 1.78091085, 1: 1.77491569, 2: 1.76894075, 3: 1.76296606, 4: 1.75700001, 5: 1.75103571, 6: 1.74505212, 7: 1.73908612, 15: 1.78692135, 14: 1.79288341, 13: 1.79891521, 12: 1.80483503, 11: 1.81076124, 10: 1.8167503, 9: 1.8227573, 8: 1.8287545}"
12,12,"{0: 1.78897182, 1: 1.78298726, 2: 1.77701424, 3: 1.77097258, 4: 1.76491709, 5: 1.75896363, 6: 1.75298019, 7: 1.74694242, 15: 1.79495175, 14: 1.80094693, 13: 1.80697353, 12: 1.81298633, 11: 1.81901437, 10: 1.82501885, 9: 1.83098221, 8: 1.83702188}"
13,13,"{0: 1.798572, 1: 1.79247764, 2: 1.78643, 3: 1.78038575, 4: 1.77441162, 5: 1.76840621, 6: 1.762313, 7: 1.7562284, 15: 1.80453256, 14: 1.81062817, 13: 1.81661829, 12: 1.82267324, 11: 1.82867924, 10: 1.83479152, 9: 1.84085661, 8: 1.84686374}"
14,14,"{0: 1.81033474, 1: 1.80425845, 2: 1.79818216, 3: 1.79211603, 4: 1.78603778, 5: 1.77997038, 6: 1.77384721, 7: 1.76774701, 15: 1.81637698, 14: 1.82244782, 13: 1.82855442, 12: 1.83463591, 11: 1.84069646, 10: 1.84674501, 9: 1.85283347, 8: 1.85891386}"
15,15,"{0: 1.8250402, 1: 1.81887441, 2: 1.8127374, 3: 1.80665214, 4: 1.80052325, 5: 1.79441135, 6: 1.78822003, 7: 1.78211146, 15: 1.83118282, 14: 1.83728297, 13: 1.84334996, 12: 1.84943173, 11: 1.85561384, 10: 1.86175555, 9: 1.86785177, 8: 1.87397793}"
