,CurveSetCode,BandGapValue
0,0,"{0: 1.73619769, 1: 1.73035789, 2: 1.72448591, 3: 1.71863779, 4: 1.71277079, 5: 1.70693905, 6: 1.70111859, 7: 1.69519482, 15: 1.74196688, 14: 1.74779196, 13: 1.75370966, 12: 1.75951786, 11: 1.76538774, 10: 1.77124229, 9: 1.77700878, 8: 1.78288149}"
1,1,"{0: 1.73781467, 1: 1.7319638, 2: 1.72615722, 3: 1.72035138, 4: 1.71447335, 5: 1.70862853, 6: 1.70280246, 7: 1.69691397, 15: 1.74371387, 14: 1.74952585, 13: 1.75539756, 12: 1.76120602, 11: 1.76706012, 10: 1.77290924, 9: 1.77871409, 8: 1.78457457}"
2,2,"{0: 1.73969483, 1: 1.73380828, 2: 1.72799184, 3: 1.72211595, 4: 1.71630017, 5: 1.71042727, 6: 1.7045114, 7: 1.698644, 15: 1.74553921, 14: 1.75134686, 13: 1.75721336, 12: 1.76305995, 11: 1.76894805, 10: 1.77481285, 9: 1.78064217, 8: 1.78650109}"
3,3,"{0: 1.74172755, 1: 1.73587232, 2: 1.73004631, 3: 1.7242174, 4: 1.71828905, 5: 1.71248197, 6: 1.7065902, 7: 1.7007527, 15: 1.74765772, 14: 1.75347783, 13: 1.7593724, 12: 1.76519875, 11: 1.77105358, 10: 1.77694591, 9: 1.78275685, 8: 1.78865545}"
4,4,"{0: 1.74403802, 1: 1.73820617, 2: 1.73236277, 3: 1.72644784, 4: 1.72054601, 5: 1.71480288, 6: 1.70881983, 7: 1.70292457, 15: 1.74989844, 14: 1.75582526, 13: 1.76162631, 12: 1.76751492, 11: 1.77335004, 10: 1.77929449, 9: 1.78511294, 8: 1.79100961}"
5,5,"{0: 1.74660149, 1: 1.74071846, 2: 1.734858, 3: 1.72894924, 4: 1.7231007, 5: 1.71725917, 6: 1.71135137, 7: 1.70541857, 15: 1.7524421, 14: 1.75829391, 13: 1.76424354, 12: 1.77009079, 11: 1.77592938, 10: 1.78182809, 9: 1.78771195, 8: 1.79364129}"
6,6,"{0: 1.74949632, 1: 1.74358349, 2: 1.7377547, 3: 1.73181322, 4: 1.72593794, 5: 1.72006559, 6: 1.71415069, 7: 1.70829881, 15: 1.75538068, 14: 1.76122191, 13: 1.76712888, 12: 1.77296575, 11: 1.77882386, 10: 1.78476783, 9: 1.7906021, 8: 1.79652951}"
7,7,"{0: 1.75267295, 1: 1.74675419, 2: 1.7408862, 3: 1.73502687, 4: 1.72911022, 5: 1.72318696, 6: 1.7172626, 7: 1.71142274, 15: 1.75856144, 14: 1.76443197, 13: 1.77030006, 12: 1.77624078, 11: 1.7821732, 10: 1.78805669, 9: 1.79395961, 8: 1.7998736}"
8,8,"{0: 1.75639904, 1: 1.75045304, 2: 1.7445775, 3: 1.738766, 4: 1.73283523, 5: 1.72690392, 6: 1.72093358, 7: 1.7150575, 15: 1.76230303, 14: 1.76820151, 13: 1.77406866, 12: 1.7799604, 11: 1.78595874, 10: 1.79185837, 9: 1.79770524, 8: 1.80355438}"
9,9,"{0: 1.76053189, 1: 1.7545832, 2: 1.74871657, 3: 1.74277871, 4: 1.73692793, 5: 1.73098768, 6: 1.72500713, 7: 1.71905174, 15: 1.76644619, 14: 1.77231625, 13: 1.77828057, 12: 1.78425693, 11: 1.79010387, 10: 1.79602996, 9: 1.80198031, 8: 1.80789249}"
10,10,"{0: 1.76537171, 1: 1.75943563, 2: 1.75355268, 3: 1.74766989, 4: 1.74172021, 5: 1.73575561, 6: 1.72976894, 7: 1.72381758, 15: 1.77137785, 14: 1.77730268, 13: 1.78320064, 12: 1.7891061, 11: 1.79510961, 10: 1.80101353, 9: 1.80695133, 8: 1.81287337}"
11,11,"{0: 1.77098028, 1: 1.76504504, 2: 1.75913752, 3: 1.75321134, 4: 1.74723242, 5: 1.74133069, 6: 1.73535028, 7: 1.72935934, 15: 1.77698396, 14: 1.78289472, 13: 1.7889323, 12: 1.79483762, 11: 1.80077482, 10: 1.80671601, 9: 1.8127266, 8: 1.81875955}"
12,12,"{0: 1.77773042, 1: 1.7717625, 2: 1.76578299, 3: 1.75980038, 4: 1.75380403, 5: 1.74790493, 6: 1.74189945, 7: 1.73584663, 15: 1.7836551, 14: 1.78961281, 13: 1.79567865, 12: 1.80157513, 11: 1.80756357, 10: 1.8136135, 9: 1.81953754, 8: 1.82551363}"
13,13,"{0: 1.78562352, 1: 1.7796009, 2: 1.77362334, 3: 1.76759318, 4: 1.76162477, 5: 1.7557416, 6: 1.74966441, 7: 1.74356468, 15: 1.7915325, 14: 1.79760254, 13: 1.80360363, 12: 1.80959634, 11: 1.8155649, 10: 1.82158433, 9: 1.82761053, 8: 1.83362259}"
14,14,"{0: 1.79525967, 1: 1.78931254, 2: 1.78327852, 3: 1.77719185, 4: 1.77115196, 5: 1.76510419, 6: 1.75908805, 7: 1.75299944, 15: 1.80131952, 14: 1.80736653, 13: 1.8133755, 12: 1.81936237, 11: 1.82539891, 10: 1.83152437, 9: 1.83756193, 8: 1.84359846}"
15,15,"{0: 1.80751902, 1: 1.80140697, 2: 1.79530344, 3: 1.78917263, 4: 1.78318348, 5: 1.77710992, 6: 1.77096527, 7: 1.76486691, 15: 1.81348669, 14: 1.81955414, 13: 1.82562815, 12: 1.83170513, 11: 1.83779399, 10: 1.84380566, 9: 1.84984706, 8: 1.85596791}"
