,CurveSetCode,BandGapValue
0,0,"{0: 1.7397594, 1: 1.73386129, 2: 1.72801421, 3: 1.72220727, 4: 1.71634876, 5: 1.71048606, 6: 1.70463404, 7: 1.69880557, 15: 1.7455125, 14: 1.75132814, 13: 1.75712411, 12: 1.76293937, 11: 1.76880016, 10: 1.77462801, 9: 1.78040633, 8: 1.78627973}"
1,1,"{0: 1.74180472, 1: 1.73592234, 2: 1.73011555, 3: 1.72427966, 4: 1.71845399, 5: 1.71266591, 6: 1.70677081, 7: 1.70089053, 15: 1.74764468, 14: 1.75345207, 13: 1.75931729, 12: 1.76517089, 11: 1.77095561, 10: 1.77686714, 9: 1.78266496, 8: 1.78851456}"
2,2,"{0: 1.74431519, 1: 1.73844926, 2: 1.73258966, 3: 1.726701, 4: 1.72086781, 5: 1.71505743, 6: 1.70915641, 7: 1.70323393, 15: 1.75002696, 14: 1.75592017, 13: 1.76178966, 12: 1.76763038, 11: 1.77343646, 10: 1.7792696, 9: 1.78515376, 8: 1.79104731}"
3,3,"{0: 1.74687278, 1: 1.74103029, 2: 1.73520372, 3: 1.72939372, 4: 1.72345201, 5: 1.71755706, 6: 1.7117082, 7: 1.7058629, 15: 1.75273603, 14: 1.75856765, 13: 1.76439097, 12: 1.77021196, 11: 1.7760918, 10: 1.78198241, 9: 1.78782725, 8: 1.79364428}"
4,4,"{0: 1.74985155, 1: 1.74399145, 2: 1.73813638, 3: 1.73222766, 4: 1.72639451, 5: 1.72057172, 6: 1.71467382, 7: 1.70875788, 15: 1.75570193, 14: 1.7616059, 13: 1.76741777, 12: 1.77329294, 11: 1.77913218, 10: 1.78504322, 9: 1.79091091, 8: 1.79678753}"
5,5,"{0: 1.75311945, 1: 1.74728786, 2: 1.74143122, 3: 1.73554831, 4: 1.72961607, 5: 1.72376477, 6: 1.71789026, 7: 1.71202954, 15: 1.75900302, 14: 1.76486011, 13: 1.77076776, 12: 1.77664675, 11: 1.78251693, 10: 1.78838771, 9: 1.79422279, 8: 1.80012009}"
6,6,"{0: 1.75683949, 1: 1.75097568, 2: 1.74510057, 3: 1.73922426, 4: 1.73331128, 5: 1.72740241, 6: 1.72149162, 7: 1.71559808, 15: 1.76271502, 14: 1.76853599, 13: 1.77443088, 12: 1.78032314, 11: 1.78620932, 10: 1.79208406, 9: 1.79794344, 8: 1.80381023}"
7,7,"{0: 1.76091595, 1: 1.75502888, 2: 1.74911217, 3: 1.74322413, 4: 1.73738195, 5: 1.73148101, 6: 1.72549799, 7: 1.7195662, 15: 1.76679295, 14: 1.77271025, 13: 1.77854618, 12: 1.78450249, 11: 1.79039783, 10: 1.7963047, 9: 1.80219146, 8: 1.80809651}"
8,8,"{0: 1.76571303, 1: 1.75976524, 2: 1.75380171, 3: 1.74785594, 4: 1.74196081, 5: 1.73606141, 6: 1.73008665, 7: 1.72411078, 15: 1.77151538, 14: 1.7774878, 13: 1.78338311, 12: 1.78926398, 11: 1.79517074, 10: 1.80112532, 9: 1.80701866, 8: 1.81293852}"
9,9,"{0: 1.77095796, 1: 1.76506191, 2: 1.75913989, 3: 1.75320243, 4: 1.74725515, 5: 1.74133429, 6: 1.73535928, 7: 1.72940721, 15: 1.77684153, 14: 1.78276238, 13: 1.78872591, 12: 1.79466513, 11: 1.80060219, 10: 1.80652958, 9: 1.81242592, 8: 1.81839991}"
10,10,"{0: 1.77720693, 1: 1.77127843, 2: 1.76530078, 3: 1.75939783, 4: 1.75338652, 5: 1.74740991, 6: 1.74145586, 7: 1.73550498, 15: 1.78309709, 14: 1.78903116, 13: 1.79502718, 12: 1.80098932, 11: 1.80693946, 10: 1.81292061, 9: 1.81887674, 8: 1.82481879}"
11,11,"{0: 1.78438146, 1: 1.77840906, 2: 1.7725026, 3: 1.76645109, 4: 1.76042459, 5: 1.7544931, 6: 1.74852464, 7: 1.7424875, 15: 1.79030213, 14: 1.79628155, 13: 1.80228773, 12: 1.80826395, 11: 1.81424064, 10: 1.82016562, 9: 1.82611031, 8: 1.83210869}"
12,12,"{0: 1.79287196, 1: 1.78682186, 2: 1.78082653, 3: 1.77484924, 4: 1.76888336, 5: 1.76281512, 6: 1.75677042, 7: 1.7507851, 15: 1.79881134, 14: 1.80479789, 13: 1.81081693, 12: 1.81677774, 11: 1.82274879, 10: 1.82881634, 9: 1.83484861, 8: 1.84084532}"
13,13,"{0: 1.80292786, 1: 1.79691302, 2: 1.79090367, 3: 1.78487475, 4: 1.77875503, 5: 1.77269683, 6: 1.76663952, 7: 1.76072235, 15: 1.8089731, 14: 1.81498837, 13: 1.8210163, 12: 1.82709437, 11: 1.83316912, 10: 1.83916961, 9: 1.84517947, 8: 1.85120156}"
14,14,"{0: 1.81541675, 1: 1.80932401, 2: 1.80321347, 3: 1.7971941, 4: 1.79111858, 5: 1.7850289, 6: 1.7789563, 7: 1.77282094, 15: 1.82146908, 14: 1.82752645, 13: 1.83359473, 12: 1.83970817, 11: 1.8457646, 10: 1.8518311, 9: 1.85792854, 8: 1.86405523}"
15,15,"{0: 1.83086393, 1: 1.82474872, 2: 1.81863091, 3: 1.81250321, 4: 1.80638592, 5: 1.80027621, 6: 1.79404723, 7: 1.78791565, 15: 1.83699363, 14: 1.84308163, 13: 1.84919184, 12: 1.85529786, 11: 1.86146835, 10: 1.86764904, 9: 1.87379276, 8: 1.87990576}"
