,CurveSetCode,BandGapValue
0,0,"{0: 1.73619966, 1: 1.72987314, 2: 1.72404515, 3: 1.71801284, 4: 1.7121604, 5: 1.70632004, 6: 1.70036281, 7: 1.69464638, 15: 1.74169011, 14: 1.74806914, 13: 1.75392218, 12: 1.75977734, 11: 1.76571492, 10: 1.77159188, 9: 1.77734546, 8: 1.7832027}"
1,1,"{0: 1.73813642, 1: 1.73221684, 2: 1.72633344, 3: 1.72033681, 4: 1.71466671, 5: 1.70873842, 6: 1.70287685, 7: 1.69701322, 15: 1.74391105, 14: 1.74976891, 13: 1.7556921, 12: 1.76153295, 11: 1.76729974, 10: 1.77320478, 9: 1.77905702, 8: 1.78490973}"
2,2,"{0: 1.74000917, 1: 1.73411301, 2: 1.72824375, 3: 1.7223703, 4: 1.71653729, 5: 1.71066606, 6: 1.70476239, 7: 1.69853007, 15: 1.74560303, 14: 1.75146859, 13: 1.75730268, 12: 1.76314986, 11: 1.7690774, 10: 1.77500049, 9: 1.78083761, 8: 1.78672187}"
3,3,"{0: 1.74212079, 1: 1.7368939, 2: 1.73105945, 3: 1.72518476, 4: 1.7193203, 5: 1.71353167, 6: 1.70757473, 7: 1.70168255, 15: 1.74863474, 14: 1.75452753, 13: 1.76038037, 12: 1.76617849, 11: 1.77203182, 10: 1.77792983, 9: 1.78378748, 8: 1.78965313}"
4,4,"{0: 1.7441941, 1: 1.7383564, 2: 1.73254347, 3: 1.72659751, 4: 1.72064468, 5: 1.71465125, 6: 1.70804668, 7: 1.70298709, 15: 1.75019732, 14: 1.75617808, 13: 1.7620878, 12: 1.76789673, 11: 1.77379701, 10: 1.7796293, 9: 1.78547522, 8: 1.79150526}"
5,5,"{0: 1.74677109, 1: 1.74031782, 2: 1.73503733, 3: 1.73014208, 4: 1.72422192, 5: 1.71838904, 6: 1.71253389, 7: 1.70645483, 15: 1.75360152, 14: 1.75951032, 13: 1.76546194, 12: 1.77133542, 11: 1.77710852, 10: 1.78306652, 9: 1.78899199, 8: 1.79485633}"
6,6,"{0: 1.75087137, 1: 1.74494761, 2: 1.73895061, 3: 1.73315345, 4: 1.72730455, 5: 1.72139708, 6: 1.71537308, 7: 1.70953123, 15: 1.75669314, 14: 1.76261185, 13: 1.76842784, 12: 1.77430474, 11: 1.78017522, 10: 1.78609424, 9: 1.79196485, 8: 1.79777752}"
7,7,"{0: 1.75411252, 1: 1.74820415, 2: 1.74027378, 3: 1.73447076, 4: 1.72843348, 5: 1.72240444, 6: 1.71643964, 7: 1.71052064, 15: 1.75803475, 14: 1.76391786, 13: 1.76988296, 12: 1.7757686, 11: 1.78168284, 10: 1.78765395, 9: 1.79350474, 8: 1.79957549}"
8,8,"{0: 1.75594005, 1: 1.74986963, 2: 1.7440031, 3: 1.73806988, 4: 1.73214574, 5: 1.72628735, 6: 1.72026436, 7: 1.71424005, 15: 1.7618432, 14: 1.76777871, 13: 1.77376594, 12: 1.7794226, 11: 1.78692186, 10: 1.79248991, 9: 1.79864939, 8: 1.80534163}"
9,9,"{0: 1.76222021, 1: 1.75628294, 2: 1.75033325, 3: 1.74446969, 4: 1.73851147, 5: 1.73254668, 6: 1.72666822, 7: 1.72073941, 15: 1.76817616, 14: 1.77398156, 13: 1.77992089, 12: 1.78591156, 11: 1.79190326, 10: 1.79767264, 9: 1.80351287, 8: 1.80951146}"
10,10,"{0: 1.76676171, 1: 1.75991054, 2: 1.75395515, 3: 1.74800233, 4: 1.74192571, 5: 1.73605235, 6: 1.72998203, 7: 1.72393872, 15: 1.77174567, 14: 1.77782481, 13: 1.78404685, 12: 1.7899455, 11: 1.79535318, 10: 1.80181073, 9: 1.80761225, 8: 1.81374047}"
11,11,"{0: 1.77160993, 1: 1.76578933, 2: 1.75991487, 3: 1.75382407, 4: 1.74781694, 5: 1.74188883, 6: 1.73578068, 7: 1.72982009, 15: 1.77770196, 14: 1.78370529, 13: 1.78968134, 12: 1.79562822, 11: 1.80170215, 10: 1.80770144, 9: 1.81347948, 8: 1.81952602}"
12,12,"{0: 1.77866342, 1: 1.772592, 2: 1.76660975, 3: 1.76067728, 4: 1.75463213, 5: 1.74864763, 6: 1.74260036, 7: 1.73660059, 15: 1.7846306, 14: 1.79064517, 13: 1.79660182, 12: 1.8026277, 11: 1.80872966, 10: 1.81467711, 9: 1.82058883, 8: 1.82664357}"
13,13,"{0: 1.78682587, 1: 1.78077703, 2: 1.7748097, 3: 1.76877404, 4: 1.76278272, 5: 1.75673925, 6: 1.75065204, 7: 1.74465783, 15: 1.79286621, 14: 1.79879341, 13: 1.80480894, 12: 1.81089144, 11: 1.81696913, 10: 1.82298886, 9: 1.82896449, 8: 1.83607752}"
14,14,"{0: 1.79812459, 1: 1.79205447, 2: 1.78610052, 3: 1.77999811, 4: 1.77274448, 5: 1.76663622, 6: 1.76054121, 7: 1.75451637, 15: 1.8029896, 14: 1.80902826, 13: 1.81516199, 12: 1.82120869, 11: 1.82728293, 10: 1.83327785, 9: 1.83927264, 8: 1.84546012}"
15,15,"{0: 1.80949218, 1: 1.80340833, 2: 1.79737106, 3: 1.79128451, 4: 1.78511092, 5: 1.77904898, 6: 1.77288659, 7: 1.76687467, 15: 1.81561484, 14: 1.82174795, 13: 1.82785015, 12: 1.83388498, 11: 1.83999301, 10: 1.84617734, 9: 1.85226173, 8: 1.85844608}"
