,CurveSetCode,BandGapValue
0,0,"{0: 1.73508031, 1: 1.72925269, 2: 1.72343979, 3: 1.71758294, 4: 1.7117483, 5: 1.70586476, 6: 1.70004284, 7: 1.69414816, 15: 1.74090407, 14: 1.7466712, 13: 1.75259482, 12: 1.75841706, 11: 1.76424216, 10: 1.77013012, 9: 1.77596605, 8: 1.78180902}"
1,1,"{0: 1.73667118, 1: 1.73085816, 2: 1.72508802, 3: 1.71915944, 4: 1.71329968, 5: 1.70749371, 6: 1.70161448, 7: 1.69573015, 15: 1.7425276, 14: 1.74833972, 13: 1.7542806, 12: 1.76006058, 11: 1.76593763, 10: 1.771801, 9: 1.77756792, 8: 1.78339792}"
2,2,"{0: 1.73845481, 1: 1.7326673, 2: 1.72679899, 3: 1.72094792, 4: 1.71506643, 5: 1.70920594, 6: 1.70333383, 7: 1.69748336, 15: 1.74426777, 14: 1.75019165, 13: 1.75601727, 12: 1.76184772, 11: 1.76775197, 10: 1.77359869, 9: 1.77941576, 8: 1.78532653}"
3,3,"{0: 1.74047536, 1: 1.73464807, 2: 1.72881529, 3: 1.72297104, 4: 1.71708357, 5: 1.71123773, 6: 1.7053171, 7: 1.69942029, 15: 1.74631311, 14: 1.75216242, 13: 1.75801403, 12: 1.76388866, 11: 1.76968407, 10: 1.77558247, 9: 1.78147673, 8: 1.78737158}"
4,4,"{0: 1.74273375, 1: 1.73687881, 2: 1.73102536, 3: 1.72518309, 4: 1.71931671, 5: 1.71341389, 6: 1.70754812, 7: 1.70166922, 15: 1.74857951, 14: 1.75450662, 13: 1.76030032, 12: 1.76615702, 11: 1.77209314, 10: 1.77799514, 9: 1.78380082, 8: 1.78969304}"
5,5,"{0: 1.7452306, 1: 1.73940439, 2: 1.73351925, 3: 1.72760319, 4: 1.72176339, 5: 1.71590177, 6: 1.71002784, 7: 1.70409603, 15: 1.75111616, 14: 1.75695843, 13: 1.76280998, 12: 1.76868072, 11: 1.77455808, 10: 1.78047638, 9: 1.78628369, 8: 1.79221579}"
6,6,"{0: 1.74796747, 1: 1.74213366, 2: 1.7362011, 3: 1.73031556, 4: 1.72450343, 5: 1.71862593, 6: 1.71262175, 7: 1.70670784, 15: 1.75376208, 14: 1.75967999, 13: 1.76558993, 12: 1.77147285, 11: 1.77726922, 10: 1.78317499, 9: 1.78905771, 8: 1.79497599}"
7,7,"{0: 1.75108221, 1: 1.74517322, 2: 1.73930705, 3: 1.73333895, 4: 1.72744661, 5: 1.72160188, 6: 1.71566327, 7: 1.70980494, 15: 1.75696133, 14: 1.76282908, 13: 1.76873539, 12: 1.77465697, 11: 1.780572, 10: 1.78643525, 9: 1.79223667, 8: 1.79814149}"
8,8,"{0: 1.75463158, 1: 1.74865956, 2: 1.74274905, 3: 1.73683441, 4: 1.73097461, 5: 1.72510256, 6: 1.71911223, 7: 1.71321096, 15: 1.76048709, 14: 1.76632784, 13: 1.77228882, 12: 1.7781602, 11: 1.78402879, 10: 1.79001764, 9: 1.79584971, 8: 1.80179036}"
9,9,"{0: 1.75858972, 1: 1.75268507, 2: 1.74677629, 3: 1.74091373, 4: 1.73499583, 5: 1.72907049, 6: 1.72313052, 7: 1.71715432, 15: 1.7645532, 14: 1.77051411, 13: 1.77639797, 12: 1.78224006, 11: 1.78819323, 10: 1.79416185, 9: 1.80002532, 8: 1.8059388}"
10,10,"{0: 1.76327894, 1: 1.75732158, 2: 1.75142058, 3: 1.74546265, 4: 1.73955308, 5: 1.73366119, 6: 1.72774015, 7: 1.72183331, 15: 1.7692404, 14: 1.7751392, 13: 1.78107537, 12: 1.78702993, 11: 1.79298549, 10: 1.7989701, 9: 1.80484548, 8: 1.81069101}"
11,11,"{0: 1.76868901, 1: 1.7627411, 2: 1.75680214, 3: 1.75085324, 4: 1.74489264, 5: 1.73894741, 6: 1.73297918, 7: 1.72701079, 15: 1.77463816, 14: 1.78055963, 13: 1.78657999, 12: 1.79245252, 11: 1.79844353, 10: 1.80436947, 9: 1.81028702, 8: 1.81628865}"
12,12,"{0: 1.77519453, 1: 1.76916486, 2: 1.76323723, 3: 1.75728289, 4: 1.75131287, 5: 1.7453476, 6: 1.73932552, 7: 1.73332093, 15: 1.78112274, 14: 1.78709944, 13: 1.79304047, 12: 1.79900831, 11: 1.80493358, 10: 1.81095701, 9: 1.81690197, 8: 1.82288805}"
13,13,"{0: 1.78278514, 1: 1.77672888, 2: 1.77077648, 3: 1.76482439, 4: 1.75883342, 5: 1.7528018, 6: 1.7467803, 7: 1.74078054, 15: 1.78873453, 14: 1.79475041, 13: 1.80072512, 12: 1.8067057, 11: 1.81271029, 10: 1.81875765, 9: 1.82468959, 8: 1.83067063}"
14,14,"{0: 1.79213634, 1: 1.78607825, 2: 1.7800347, 3: 1.7740052, 4: 1.76805893, 5: 1.7620661, 6: 1.75597155, 7: 1.74994896, 15: 1.79811415, 14: 1.80413531, 13: 1.81015174, 12: 1.81619198, 11: 1.82225963, 10: 1.82825045, 9: 1.83427959, 8: 1.84025199}"
15,15,"{0: 1.80379943, 1: 1.79775586, 2: 1.7916909, 3: 1.78560641, 4: 1.7795572, 5: 1.77353952, 6: 1.76743268, 7: 1.76134838, 15: 1.809832, 14: 1.81586597, 13: 1.82197242, 12: 1.82802922, 11: 1.83405588, 10: 1.84011895, 9: 1.84611397, 8: 1.85227545}"
