,CurveSetCode,BandGapValue
0,0,"{0: 1.7506408, 1: 1.74474776, 2: 1.73887462, 3: 1.73283841, 4: 1.72688949, 5: 1.72114737, 6: 1.71525396, 7: 1.70934058, 15: 1.75647599, 14: 1.76224291, 13: 1.76818292, 12: 1.77420531, 11: 1.78005535, 10: 1.78587248, 9: 1.79183155, 8: 1.79767142}"
1,1,"{0: 1.75245067, 1: 1.74655466, 2: 1.74066438, 3: 1.73475661, 4: 1.72891778, 5: 1.72300604, 6: 1.71704322, 7: 1.71118616, 15: 1.75825597, 14: 1.7642701, 13: 1.77018473, 12: 1.77606272, 11: 1.78190031, 10: 1.7877948, 9: 1.79375788, 8: 1.79957619}"
2,2,"{0: 1.75456604, 1: 1.74868595, 2: 1.7427072, 3: 1.7368831, 4: 1.73088203, 5: 1.72499545, 6: 1.71914566, 7: 1.71324226, 15: 1.76034372, 14: 1.76643275, 13: 1.77218323, 12: 1.77805348, 11: 1.78406118, 10: 1.79000412, 9: 1.79593646, 8: 1.80184917}"
3,3,"{0: 1.75679592, 1: 1.75094147, 2: 1.74504941, 3: 1.7391532, 4: 1.73326863, 5: 1.72730331, 6: 1.72138721, 7: 1.71556572, 15: 1.76284513, 14: 1.76878918, 13: 1.77460786, 12: 1.78039454, 11: 1.78653438, 10: 1.79243879, 9: 1.79829159, 8: 1.80420968}"
4,4,"{0: 1.75936722, 1: 1.75357394, 2: 1.74747554, 3: 1.7416994, 4: 1.73578986, 5: 1.72984381, 6: 1.72394356, 7: 1.71805597, 15: 1.76517988, 14: 1.77119924, 13: 1.77695393, 12: 1.78284651, 11: 1.78908364, 10: 1.79495737, 9: 1.80074111, 8: 1.80678926}"
5,5,"{0: 1.76226212, 1: 1.75513068, 2: 1.74949735, 3: 1.74347267, 4: 1.73738229, 5: 1.73142804, 6: 1.72494524, 7: 1.71943496, 15: 1.76706074, 14: 1.77310704, 13: 1.77906436, 12: 1.78504294, 11: 1.79099237, 10: 1.79695216, 9: 1.80290718, 8: 1.80883724}"
6,6,"{0: 1.76443512, 1: 1.75848903, 2: 1.75246494, 3: 1.74654206, 4: 1.74061352, 5: 1.73457823, 6: 1.72863387, 7: 1.72284422, 15: 1.77040897, 14: 1.77633982, 13: 1.78221054, 12: 1.788176, 11: 1.79430648, 10: 1.80015792, 9: 1.80619844, 8: 1.81203511}"
7,7,"{0: 1.76798571, 1: 1.7620334, 2: 1.75604164, 3: 1.75005238, 4: 1.74414378, 5: 1.73809994, 6: 1.73223128, 7: 1.72620903, 15: 1.773944, 14: 1.78001514, 13: 1.78593908, 12: 1.79177931, 11: 1.7977881, 10: 1.80380631, 9: 1.80980697, 8: 1.81568765}"
8,8,"{0: 1.77203958, 1: 1.76608716, 2: 1.76009091, 3: 1.75411282, 4: 1.74809548, 5: 1.74219747, 6: 1.73629102, 7: 1.73021179, 15: 1.77807522, 14: 1.78409728, 13: 1.79007005, 12: 1.7960424, 11: 1.80205763, 10: 1.80792967, 9: 1.81391477, 8: 1.81984433}"
9,9,"{0: 1.77657054, 1: 1.7706355, 2: 1.76466908, 3: 1.75868048, 4: 1.75266866, 5: 1.7466249, 6: 1.74065028, 7: 1.7346669, 15: 1.782569, 14: 1.78861739, 13: 1.79460064, 12: 1.80063824, 11: 1.80656559, 10: 1.81256482, 9: 1.81862205, 8: 1.82456181}"
10,10,"{0: 1.78202428, 1: 1.77605409, 2: 1.77004211, 3: 1.76397192, 4: 1.75793909, 5: 1.75190318, 6: 1.74597805, 7: 1.73998083, 15: 1.78802265, 14: 1.79400483, 13: 1.80009165, 12: 1.80604382, 11: 1.81206197, 10: 1.81803048, 9: 1.82405993, 8: 1.83008951}"
11,11,"{0: 1.78817586, 1: 1.78219912, 2: 1.77615557, 3: 1.77020427, 4: 1.76419368, 5: 1.75802863, 6: 1.7520487, 7: 1.74602567, 15: 1.79432961, 14: 1.80028151, 13: 1.80633582, 12: 1.81238154, 11: 1.81848727, 10: 1.82447161, 9: 1.83048027, 8: 1.83651887}"
12,12,"{0: 1.7955923, 1: 1.78957197, 2: 1.78354171, 3: 1.77750817, 4: 1.77143669, 5: 1.76533149, 6: 1.7592933, 7: 1.75330365, 15: 1.8016394, 14: 1.8076867, 13: 1.81371859, 12: 1.81977228, 11: 1.82589615, 10: 1.83201933, 9: 1.83804716, 8: 1.84419261}"
13,13,"{0: 1.80435558, 1: 1.79833621, 2: 1.79213187, 3: 1.78603831, 4: 1.77999118, 5: 1.77393276, 6: 1.76787142, 7: 1.76183568, 15: 1.8102913, 14: 1.81640498, 13: 1.82242453, 12: 1.82852923, 11: 1.83460386, 10: 1.84067317, 9: 1.8468154, 8: 1.85283094}"
14,14,"{0: 1.81483507, 1: 1.80881087, 2: 1.80251167, 3: 1.79650343, 4: 1.79043588, 5: 1.78445403, 6: 1.77816373, 7: 1.77211763, 15: 1.82102401, 14: 1.82715216, 13: 1.83310328, 12: 1.83941606, 11: 1.84567241, 10: 1.85173186, 9: 1.85765036, 8: 1.86393191}"
15,15,"{0: 1.82812178, 1: 1.82225693, 2: 1.81606388, 3: 1.80979442, 4: 1.80362986, 5: 1.79756677, 6: 1.79143278, 7: 1.78517591, 15: 1.83466856, 14: 1.84087497, 13: 1.84689776, 12: 1.85312762, 11: 1.85933459, 10: 1.86543846, 9: 1.87151462, 8: 1.87765277}"
