,CurveSetCode,BandGapValue
0,0,"{0: 1.72795303, 1: 1.72215688, 2: 1.71640616, 3: 1.71050593, 4: 1.70464448, 5: 1.69884419, 6: 1.69309552, 7: 1.68717356, 15: 1.73374296, 14: 1.73955675, 13: 1.74545027, 12: 1.75122582, 11: 1.75700078, 10: 1.76280616, 9: 1.76870209, 8: 1.77452629}"
1,1,"{0: 1.72941545, 1: 1.72365018, 2: 1.71785185, 3: 1.71197752, 4: 1.70615275, 5: 1.70036049, 6: 1.69457056, 7: 1.68869142, 15: 1.73527313, 14: 1.74108191, 13: 1.74696774, 12: 1.75279586, 11: 1.75859808, 10: 1.76440558, 9: 1.77019738, 8: 1.77605523}"
2,2,"{0: 1.73104242, 1: 1.72524081, 2: 1.71946353, 3: 1.71370784, 4: 1.7078255, 5: 1.70197897, 6: 1.69617943, 7: 1.69027079, 15: 1.73692819, 14: 1.74274917, 13: 1.74859157, 12: 1.75439555, 11: 1.76019984, 10: 1.76599208, 9: 1.7717938, 8: 1.77768291}"
3,3,"{0: 1.73280235, 1: 1.72696351, 2: 1.72113872, 3: 1.71531439, 4: 1.70954048, 5: 1.70365548, 6: 1.69782336, 7: 1.69202899, 15: 1.73869214, 14: 1.74450643, 13: 1.7503789, 12: 1.75618509, 11: 1.76194907, 10: 1.76780904, 9: 1.77367212, 8: 1.77951095}"
4,4,"{0: 1.73479502, 1: 1.7289946, 2: 1.72315415, 3: 1.71733704, 4: 1.71149375, 5: 1.70564662, 6: 1.69978086, 7: 1.69386429, 15: 1.7406589, 14: 1.74647486, 13: 1.75235339, 12: 1.75810027, 11: 1.76395514, 10: 1.76991174, 9: 1.77573589, 8: 1.78155126}"
5,5,"{0: 1.73694696, 1: 1.73112659, 2: 1.72533363, 3: 1.71945129, 4: 1.71359653, 5: 1.70776031, 6: 1.70193036, 7: 1.69605777, 15: 1.7428435, 14: 1.74870147, 13: 1.7545607, 12: 1.76036851, 11: 1.76617686, 10: 1.77210036, 9: 1.77780688, 8: 1.7837}"
6,6,"{0: 1.73940659, 1: 1.73355494, 2: 1.72777481, 3: 1.72192838, 4: 1.71606053, 5: 1.71015724, 6: 1.70427232, 7: 1.6984226, 15: 1.74531625, 14: 1.75117206, 13: 1.75706748, 12: 1.76285171, 11: 1.76875985, 10: 1.77463835, 9: 1.78048099, 8: 1.78626747}"
7,7,"{0: 1.74224683, 1: 1.73642819, 2: 1.73055602, 3: 1.72461575, 4: 1.71879327, 5: 1.71293083, 6: 1.70694969, 7: 1.70108668, 15: 1.74808674, 14: 1.753938, 13: 1.7597632, 12: 1.76562234, 11: 1.77149313, 10: 1.77738701, 9: 1.78320164, 8: 1.7890397}"
8,8,"{0: 1.74530108, 1: 1.73941545, 2: 1.73358224, 3: 1.72771049, 4: 1.7218758, 5: 1.71597565, 6: 1.71008093, 7: 1.70415729, 15: 1.75119187, 14: 1.75708528, 13: 1.76294454, 12: 1.76883739, 11: 1.77473031, 10: 1.78067664, 9: 1.78644781, 8: 1.79229077}"
9,9,"{0: 1.74894309, 1: 1.74301989, 2: 1.73712571, 3: 1.73127458, 4: 1.72539615, 5: 1.71949247, 6: 1.71358447, 7: 1.7077075, 15: 1.75480293, 14: 1.76068467, 13: 1.76656396, 12: 1.7723577, 11: 1.77829629, 10: 1.7841695, 9: 1.79007448, 8: 1.79597383}"
10,10,"{0: 1.75310995, 1: 1.74720409, 2: 1.74131635, 3: 1.73536024, 4: 1.72951859, 5: 1.72358584, 6: 1.71769244, 7: 1.71174638, 15: 1.75897989, 14: 1.76486564, 13: 1.77078946, 12: 1.77674283, 11: 1.78258626, 10: 1.78846188, 9: 1.7943412, 8: 1.80021434}"
11,11,"{0: 1.75786162, 1: 1.75191655, 2: 1.74597135, 3: 1.73998945, 4: 1.7341335, 5: 1.72830934, 6: 1.72238761, 7: 1.71635207, 15: 1.76374041, 14: 1.76966709, 13: 1.77553428, 12: 1.78138967, 11: 1.78732721, 10: 1.79330765, 9: 1.79924691, 8: 1.80513566}"
12,12,"{0: 1.76347498, 1: 1.7575733, 2: 1.75172987, 3: 1.74572711, 4: 1.73980971, 5: 1.7338265, 6: 1.72791049, 7: 1.7219534, 15: 1.76939835, 14: 1.77529564, 13: 1.78129125, 12: 1.787182, 11: 1.79314039, 10: 1.79909268, 9: 1.8049527, 8: 1.81095267}"
13,13,"{0: 1.77028036, 1: 1.7643022, 2: 1.75838466, 3: 1.75242499, 4: 1.74647248, 5: 1.74051101, 6: 1.73457521, 7: 1.72863062, 15: 1.77625848, 14: 1.78220238, 13: 1.7881617, 12: 1.79406108, 11: 1.8000503, 10: 1.80602611, 9: 1.81199135, 8: 1.81793781}"
14,14,"{0: 1.77860849, 1: 1.77266697, 2: 1.76667882, 3: 1.76069051, 4: 1.75468039, 5: 1.74868222, 6: 1.742697, 7: 1.7366892, 15: 1.78453976, 14: 1.79055457, 13: 1.79658201, 12: 1.80248593, 11: 1.80844186, 10: 1.81444786, 9: 1.82045216, 8: 1.82645313}"
15,15,"{0: 1.78896279, 1: 1.78298579, 2: 1.7769456, 3: 1.77095217, 4: 1.76497131, 5: 1.75894283, 6: 1.75292342, 7: 1.74691237, 15: 1.79507338, 14: 1.80099346, 13: 1.80699118, 12: 1.81304194, 11: 1.81907891, 10: 1.82516151, 9: 1.83111416, 8: 1.83712813}"
