,CurveSetCode,BandGapValue
0,0,"{0: 1.73727586, 1: 1.73142218, 2: 1.72560226, 3: 1.71972124, 4: 1.71390717, 5: 1.70809011, 6: 1.70219032, 7: 1.69628771, 15: 1.74311896, 14: 1.74894123, 13: 1.75480378, 12: 1.76063365, 11: 1.76646842, 10: 1.7723472, 9: 1.77816215, 8: 1.7839948}"
1,1,"{0: 1.7390792, 1: 1.7331853, 2: 1.72736, 3: 1.72149357, 4: 1.71563454, 5: 1.70978786, 6: 1.70393559, 7: 1.69801701, 15: 1.74487851, 14: 1.75069807, 13: 1.75656151, 12: 1.76238583, 11: 1.76825151, 10: 1.77415888, 9: 1.77998987, 8: 1.78590232}"
2,2,"{0: 1.74110688, 1: 1.73525259, 2: 1.72940805, 3: 1.72350848, 4: 1.71764953, 5: 1.71178887, 6: 1.70590021, 7: 1.7000393, 15: 1.7469573, 14: 1.75276246, 13: 1.7586554, 12: 1.76453606, 11: 1.77036376, 10: 1.77618657, 9: 1.78208406, 8: 1.78802662}"
3,3,"{0: 1.74330721, 1: 1.73743317, 2: 1.73162274, 3: 1.72575649, 4: 1.71984994, 5: 1.71401776, 6: 1.70811305, 7: 1.70229124, 15: 1.7492267, 14: 1.7549895, 13: 1.7608964, 12: 1.76672147, 11: 1.77267013, 10: 1.77851397, 9: 1.78434103, 8: 1.79020542}"
4,4,"{0: 1.74575821, 1: 1.73994087, 2: 1.73407632, 3: 1.72820165, 4: 1.72226186, 5: 1.71640714, 6: 1.71052346, 7: 1.7046434, 15: 1.75196897, 14: 1.75745746, 13: 1.76339345, 12: 1.76921014, 11: 1.77508764, 10: 1.78093862, 9: 1.78682365, 8: 1.79268046}"
5,5,"{0: 1.74853561, 1: 1.74262806, 2: 1.73676026, 3: 1.73087796, 4: 1.72496632, 5: 1.719074, 6: 1.71321644, 7: 1.70730259, 15: 1.75434793, 14: 1.76020434, 13: 1.76610036, 12: 1.77196456, 11: 1.77787942, 10: 1.78379554, 9: 1.78968827, 8: 1.79553992}"
6,6,"{0: 1.75156138, 1: 1.74568705, 2: 1.73985392, 3: 1.73393891, 4: 1.72807172, 5: 1.72214597, 6: 1.71625795, 7: 1.71035979, 15: 1.7575144, 14: 1.76338741, 13: 1.76938019, 12: 1.77523067, 11: 1.78105477, 10: 1.78695516, 9: 1.79285304, 8: 1.79876005}"
7,7,"{0: 1.75507649, 1: 1.74918687, 2: 1.74332368, 3: 1.73737896, 4: 1.73147711, 5: 1.72559787, 6: 1.71965926, 7: 1.71372639, 15: 1.7609586, 14: 1.76686452, 13: 1.77277053, 12: 1.7786941, 11: 1.78456633, 10: 1.7904053, 9: 1.79628218, 8: 1.80224946}"
8,8,"{0: 1.7589998, 1: 1.75306631, 2: 1.74714737, 3: 1.74129605, 4: 1.73542853, 5: 1.72948478, 6: 1.72349429, 7: 1.71757892, 15: 1.76495776, 14: 1.77088537, 13: 1.77672974, 12: 1.78257632, 11: 1.78854827, 10: 1.79450516, 9: 1.80036543, 8: 1.80632414}"
9,9,"{0: 1.76346266, 1: 1.75751748, 2: 1.75161631, 3: 1.7457592, 4: 1.73979633, 5: 1.73377897, 6: 1.72788391, 7: 1.7219695, 15: 1.76932877, 14: 1.77529996, 13: 1.78132409, 12: 1.78720076, 11: 1.79303586, 10: 1.79895839, 9: 1.80492918, 8: 1.81091088}"
10,10,"{0: 1.76863968, 1: 1.76278357, 2: 1.75684045, 3: 1.75081611, 4: 1.74490003, 5: 1.7389856, 6: 1.7330292, 7: 1.72702817, 15: 1.7746585, 14: 1.78060572, 13: 1.78658092, 12: 1.79245005, 11: 1.79836231, 10: 1.8043726, 9: 1.81030701, 8: 1.81628591}"
11,11,"{0: 1.77463939, 1: 1.76868537, 2: 1.76279443, 3: 1.75679933, 4: 1.75083463, 5: 1.74482773, 6: 1.73885532, 7: 1.7329202, 15: 1.78063807, 14: 1.78657183, 13: 1.79250128, 12: 1.79852289, 11: 1.80454414, 10: 1.81049729, 9: 1.81640183, 8: 1.82241512}"
12,12,"{0: 1.78185767, 1: 1.77579703, 2: 1.76987838, 3: 1.76387596, 4: 1.75786179, 5: 1.75180141, 6: 1.74582466, 7: 1.73989418, 15: 1.78779955, 14: 1.79380441, 13: 1.79979494, 12: 1.80580313, 11: 1.81173487, 10: 1.81776019, 9: 1.82374201, 8: 1.82976499}"
13,13,"{0: 1.79023944, 1: 1.78418314, 2: 1.77825792, 3: 1.7722421, 4: 1.76613552, 5: 1.76015021, 6: 1.75417427, 7: 1.74815335, 15: 1.79624896, 14: 1.8022731, 13: 1.80833798, 12: 1.81433803, 11: 1.82029173, 10: 1.82630637, 9: 1.83227624, 8: 1.83832085}"
14,14,"{0: 1.80071902, 1: 1.79469104, 2: 1.78857984, 3: 1.78255741, 4: 1.77656576, 5: 1.77044806, 6: 1.76433882, 7: 1.75832795, 15: 1.80674413, 14: 1.81274099, 13: 1.81879034, 12: 1.82489285, 11: 1.83098028, 10: 1.83696729, 9: 1.84297076, 8: 1.84911615}"
15,15,"{0: 1.81364924, 1: 1.8075843, 2: 1.80152568, 3: 1.79543685, 4: 1.78923047, 5: 1.78317606, 6: 1.77715615, 7: 1.7710453, 15: 1.81970755, 14: 1.82589056, 13: 1.83194295, 12: 1.83802601, 11: 1.84415574, 10: 1.85023169, 9: 1.85625268, 8: 1.86238321}"
