,CurveSetCode,BandGapValue
0,0,"{0: 1.74867785, 1: 1.74267083, 2: 1.7368646, 3: 1.73107574, 4: 1.72506858, 5: 1.71917638, 6: 1.71333869, 7: 1.70744796, 15: 1.75460828, 14: 1.76039278, 13: 1.76623451, 12: 1.77216788, 11: 1.77809343, 10: 1.78384698, 9: 1.78979188, 8: 1.79563152}"
1,1,"{0: 1.75052534, 1: 1.7446856, 2: 1.7390683, 3: 1.73301194, 4: 1.72704895, 5: 1.72107453, 6: 1.71527876, 7: 1.70935887, 15: 1.75641481, 14: 1.76230848, 13: 1.76815967, 12: 1.77416885, 11: 1.77998037, 10: 1.78586143, 9: 1.79183276, 8: 1.79766763}"
2,2,"{0: 1.75279837, 1: 1.74690492, 2: 1.74095055, 3: 1.73501444, 4: 1.72916686, 5: 1.72325792, 6: 1.71730895, 7: 1.71143326, 15: 1.75872179, 14: 1.76441456, 13: 1.77028486, 12: 1.77635468, 11: 1.78224342, 10: 1.78817983, 9: 1.7939578, 8: 1.79978168}"
3,3,"{0: 1.75491855, 1: 1.74921268, 2: 1.74342585, 3: 1.7373434, 4: 1.73146553, 5: 1.72549976, 6: 1.71953302, 7: 1.713873, 15: 1.7609982, 14: 1.76691069, 13: 1.77267295, 12: 1.77879441, 11: 1.78464889, 10: 1.79045977, 9: 1.79634527, 8: 1.80231817}"
4,4,"{0: 1.75771303, 1: 1.75182652, 2: 1.74676647, 3: 1.74066691, 4: 1.73525365, 5: 1.7341847, 6: 1.71734655, 7: 1.7139344, 15: 1.76348113, 14: 1.76958026, 13: 1.77554423, 12: 1.78152717, 11: 1.78739258, 10: 1.79321686, 9: 1.79914704, 8: 1.80515266}"
5,5,"{0: 1.76067482, 1: 1.75481478, 2: 1.74897863, 3: 1.74304005, 4: 1.73703589, 5: 1.73113559, 6: 1.72527434, 7: 1.71932321, 15: 1.76667125, 14: 1.77261939, 13: 1.778553, 12: 1.78449242, 11: 1.79030354, 10: 1.79629025, 9: 1.80224504, 8: 1.8081436}"
6,6,"{0: 1.76404965, 1: 1.75812485, 2: 1.75210633, 3: 1.74623038, 4: 1.74035056, 5: 1.73441346, 6: 1.72845243, 7: 1.72256727, 15: 1.77003316, 14: 1.7758803, 13: 1.7818569, 12: 1.78784794, 11: 1.79376138, 10: 1.79962753, 9: 1.80556337, 8: 1.81157765}"
7,7,"{0: 1.76773816, 1: 1.76187314, 2: 1.75593948, 3: 1.74995511, 4: 1.74396774, 5: 1.73814961, 6: 1.73213649, 7: 1.72610967, 15: 1.77374877, 14: 1.77977273, 13: 1.78568005, 12: 1.79160442, 11: 1.79751516, 10: 1.80349153, 9: 1.80948928, 8: 1.81541088}"
8,8,"{0: 1.7720828, 1: 1.76614229, 2: 1.76007447, 3: 1.75412273, 4: 1.74820699, 5: 1.7422398, 6: 1.7362255, 7: 1.73032413, 15: 1.77809133, 14: 1.78400125, 13: 1.78993312, 12: 1.7959342, 11: 1.80187451, 10: 1.80787464, 9: 1.81380628, 8: 1.81966374}"
9,9,"{0: 1.77693404, 1: 1.77086535, 2: 1.76481728, 3: 1.75893427, 4: 1.75299935, 5: 1.74753901, 6: 1.74084317, 7: 1.73505513, 15: 1.78269705, 14: 1.78875424, 13: 1.79478393, 12: 1.80081345, 11: 1.80675833, 10: 1.81263356, 9: 1.81867223, 8: 1.82466878}"
10,10,"{0: 1.78235446, 1: 1.77642831, 2: 1.77042883, 3: 1.76438215, 4: 1.75841617, 5: 1.75244398, 6: 1.74639015, 7: 1.7404558, 15: 1.78826715, 14: 1.79444122, 13: 1.80048065, 12: 1.80635233, 11: 1.81227721, 10: 1.8182982, 9: 1.82441122, 8: 1.8303793}"
11,11,"{0: 1.78891082, 1: 1.78295517, 2: 1.77685861, 3: 1.770878, 4: 1.76490485, 5: 1.75879731, 6: 1.75272186, 7: 1.7468063, 15: 1.79491696, 14: 1.80084844, 13: 1.8069059, 12: 1.81301746, 11: 1.81903797, 10: 1.82497759, 9: 1.83093312, 8: 1.83708687}"
12,12,"{0: 1.79711273, 1: 1.79071163, 2: 1.7845827, 3: 1.77851551, 4: 1.77236099, 5: 1.76631197, 6: 1.76037695, 7: 1.75429556, 15: 1.80247785, 14: 1.80874245, 13: 1.8147472, 12: 1.82058817, 11: 1.82666977, 10: 1.83283042, 9: 1.83885786, 8: 1.84479904}"
13,13,"{0: 1.80567379, 1: 1.79960924, 2: 1.7934941, 3: 1.78749879, 4: 1.7813573, 5: 1.77531682, 6: 1.76935645, 7: 1.7632384, 15: 1.81173069, 14: 1.81788508, 13: 1.82400297, 12: 1.82999186, 11: 1.83602064, 10: 1.84218166, 9: 1.84824714, 8: 1.85420438}"
14,14,"{0: 1.81697294, 1: 1.81082107, 2: 1.80461824, 3: 1.79860804, 4: 1.79256558, 5: 1.78630318, 6: 1.78024767, 7: 1.77426287, 15: 1.82301268, 14: 1.82906742, 13: 1.83529809, 12: 1.84141041, 11: 1.84740375, 10: 1.8535652, 9: 1.85968876, 8: 1.86582468}"
15,15,"{0: 1.83089962, 1: 1.82480267, 2: 1.81863339, 3: 1.81230817, 4: 1.80640383, 5: 1.80013058, 6: 1.79392638, 7: 1.78760635, 15: 1.83718387, 14: 1.84313975, 13: 1.84921707, 12: 1.8554769, 11: 1.86167691, 10: 1.86773518, 9: 1.87384651, 8: 1.88009321}"
