,CurveSetCode,BandGapValue
0,0,"{0: 1.74945508, 1: 1.74355576, 2: 1.73741381, 3: 1.73140532, 4: 1.72741225, 5: 1.72010754, 6: 1.7167102, 7: 1.70800219, 15: 1.75756351, 14: 1.76016709, 13: 1.76658832, 12: 1.77271727, 11: 1.77876267, 10: 1.78470259, 9: 1.79059552, 8: 1.79653625}"
1,1,"{0: 1.75101879, 1: 1.74506028, 2: 1.73917621, 3: 1.73329166, 4: 1.72744896, 5: 1.72154692, 6: 1.71562231, 7: 1.70974906, 15: 1.75693325, 14: 1.76277047, 13: 1.76867504, 12: 1.77458631, 11: 1.78052653, 10: 1.78639332, 9: 1.7922755, 8: 1.79811645}"
2,2,"{0: 1.75282381, 1: 1.74690287, 2: 1.74097469, 3: 1.73510542, 4: 1.72923462, 5: 1.72332163, 6: 1.71743936, 7: 1.71151693, 15: 1.75869303, 14: 1.7645958, 13: 1.7704965, 12: 1.77636402, 11: 1.7823128, 10: 1.78820229, 9: 1.79413045, 8: 1.80002534}"
3,3,"{0: 1.75476263, 1: 1.74882944, 2: 1.74294898, 3: 1.73701286, 4: 1.73111371, 5: 1.72522366, 6: 1.71932211, 7: 1.71342799, 15: 1.76069003, 14: 1.76654557, 13: 1.77246169, 12: 1.7783806, 11: 1.78425259, 10: 1.79012195, 9: 1.79611954, 8: 1.80196133}"
4,4,"{0: 1.75692058, 1: 1.75105983, 2: 1.74513039, 3: 1.73920395, 4: 1.73328549, 5: 1.72733502, 6: 1.72147383, 7: 1.71556424, 15: 1.76284021, 14: 1.76879041, 13: 1.77468831, 12: 1.78060244, 11: 1.78648341, 10: 1.7923758, 9: 1.79833552, 8: 1.80421393}"
5,5,"{0: 1.75932944, 1: 1.75338334, 2: 1.74746628, 3: 1.74152354, 4: 1.73560114, 5: 1.72969472, 6: 1.72375277, 7: 1.71787112, 15: 1.76522441, 14: 1.77115823, 13: 1.77709222, 12: 1.78304508, 11: 1.78894994, 10: 1.79480918, 9: 1.80077574, 8: 1.80670151}"
6,6,"{0: 1.76205931, 1: 1.75609954, 2: 1.75013487, 3: 1.74405776, 4: 1.73845453, 5: 1.73227017, 6: 1.72653012, 7: 1.72058787, 15: 1.76808575, 14: 1.77411935, 13: 1.77985655, 12: 1.78569334, 11: 1.79169654, 10: 1.79759816, 9: 1.80353645, 8: 1.80944949}"
7,7,"{0: 1.76503339, 1: 1.75911147, 2: 1.75316913, 3: 1.74719284, 4: 1.74123767, 5: 1.73536369, 6: 1.7293982, 7: 1.72345502, 15: 1.77100364, 14: 1.77700133, 13: 1.78294569, 12: 1.7888281, 11: 1.7947478, 10: 1.80071354, 9: 1.80668967, 8: 1.81258592}"
8,8,"{0: 1.76843999, 1: 1.76252568, 2: 1.75657885, 3: 1.75059637, 4: 1.7446615, 5: 1.73870444, 6: 1.73274002, 7: 1.72672907, 15: 1.77445332, 14: 1.78039704, 13: 1.78633233, 12: 1.79224818, 11: 1.79821162, 10: 1.80416075, 9: 1.81011464, 8: 1.81605849}"
9,9,"{0: 1.77229063, 1: 1.76633672, 2: 1.76034492, 3: 1.75443115, 4: 1.74847493, 5: 1.74245446, 6: 1.73647978, 7: 1.73059759, 15: 1.77831309, 14: 1.78425279, 13: 1.79016932, 12: 1.79619004, 11: 1.80219085, 10: 1.80811755, 9: 1.81408648, 8: 1.8199815}"
10,10,"{0: 1.77684023, 1: 1.77083588, 2: 1.76485056, 3: 1.75887564, 4: 1.75294982, 5: 1.74688448, 6: 1.74092735, 7: 1.73499687, 15: 1.78282526, 14: 1.78878994, 13: 1.79478767, 12: 1.80072788, 11: 1.8067068, 10: 1.81267895, 9: 1.8186943, 8: 1.82465456}"
11,11,"{0: 1.78202971, 1: 1.77605252, 2: 1.77011501, 3: 1.76408525, 4: 1.75810224, 5: 1.75208321, 6: 1.74612676, 7: 1.74015265, 15: 1.78804855, 14: 1.79410995, 13: 1.80009496, 12: 1.80609948, 11: 1.81208849, 10: 1.81801013, 9: 1.82402509, 8: 1.83002245}"
12,12,"{0: 1.78827329, 1: 1.78232215, 2: 1.7762772, 3: 1.77031091, 4: 1.76424183, 5: 1.75822129, 6: 1.75223296, 7: 1.74624061, 15: 1.79436494, 14: 1.80038998, 13: 1.80643143, 12: 1.81244447, 11: 1.81848386, 10: 1.82444684, 9: 1.83042173, 8: 1.83644942}"
13,13,"{0: 1.79577092, 1: 1.78970058, 2: 1.78372548, 3: 1.77766335, 4: 1.77153294, 5: 1.76557428, 6: 1.7595567, 7: 1.75346459, 15: 1.80175126, 14: 1.80781012, 13: 1.81388317, 12: 1.81988687, 11: 1.82591472, 10: 1.83192224, 9: 1.83803617, 8: 1.84407316}"
14,14,"{0: 1.80484428, 1: 1.79879997, 2: 1.79274427, 3: 1.78660015, 4: 1.78053747, 5: 1.77448883, 6: 1.76842761, 7: 1.76242333, 15: 1.81098514, 14: 1.81704958, 13: 1.82302002, 12: 1.82920403, 11: 1.83534001, 10: 1.84141974, 9: 1.84744205, 8: 1.85345858}"
15,15,"{0: 1.81632768, 1: 1.8102004, 2: 1.8040389, 3: 1.79790035, 4: 1.79182723, 5: 1.78573831, 6: 1.77961186, 7: 1.77350798, 15: 1.82237885, 14: 1.82853778, 13: 1.83460853, 12: 1.84072602, 11: 1.84680816, 10: 1.85293166, 9: 1.85906532, 8: 1.86510563}"
