,CurveSetCode,BandGapValue
0,0,"{0: 1.74998828, 1: 1.74413671, 2: 1.7382513, 3: 1.73237616, 4: 1.7264656, 5: 1.72055431, 6: 1.71467292, 7: 1.70881208, 15: 1.75595361, 14: 1.76184119, 13: 1.7677311, 12: 1.7736596, 11: 1.77948983, 10: 1.7854039, 9: 1.79123227, 8: 1.7971273}"
1,1,"{0: 1.75165096, 1: 1.74573962, 2: 1.73985535, 3: 1.73396339, 4: 1.72804997, 5: 1.72219762, 6: 1.71629727, 7: 1.71045561, 15: 1.75756875, 14: 1.76349665, 13: 1.76935846, 12: 1.77523347, 11: 1.78112559, 10: 1.78703316, 9: 1.79296714, 8: 1.79882707}"
2,2,"{0: 1.75349888, 1: 1.74762919, 2: 1.74176175, 3: 1.73586208, 4: 1.7299582, 5: 1.72402019, 6: 1.7181235, 7: 1.71223142, 15: 1.75941037, 14: 1.76531685, 13: 1.77119928, 12: 1.77713833, 11: 1.78306478, 10: 1.78898781, 9: 1.79487382, 8: 1.80079179}"
3,3,"{0: 1.75559074, 1: 1.74968067, 2: 1.74378076, 3: 1.73786476, 4: 1.73193639, 5: 1.72600414, 6: 1.72010287, 7: 1.71420442, 15: 1.76147666, 14: 1.76738648, 13: 1.7732991, 12: 1.77921123, 11: 1.78512845, 10: 1.79099371, 9: 1.79696672, 8: 1.80285924}"
4,4,"{0: 1.75779015, 1: 1.75192579, 2: 1.74599563, 3: 1.74005495, 4: 1.73417252, 5: 1.72825516, 6: 1.72235582, 7: 1.71644994, 15: 1.76372511, 14: 1.76971679, 13: 1.77562606, 12: 1.78153527, 11: 1.78747298, 10: 1.7933574, 9: 1.79927074, 8: 1.80514193}"
5,5,"{0: 1.76035287, 1: 1.75440353, 2: 1.74845756, 3: 1.74253525, 4: 1.73656295, 5: 1.73062261, 6: 1.72472668, 7: 1.71882576, 15: 1.76619884, 14: 1.77212326, 13: 1.77805273, 12: 1.78392615, 11: 1.78991368, 10: 1.79580693, 9: 1.80178338, 8: 1.80769671}"
6,6,"{0: 1.76309077, 1: 1.75718911, 2: 1.75125294, 3: 1.74530555, 4: 1.73934162, 5: 1.73344104, 6: 1.72751125, 7: 1.72152807, 15: 1.76899492, 14: 1.77494277, 13: 1.78092164, 12: 1.78686256, 11: 1.7927538, 10: 1.79865227, 9: 1.80462215, 8: 1.8105375}"
7,7,"{0: 1.76620904, 1: 1.76023628, 2: 1.75436604, 3: 1.74841646, 4: 1.74243102, 5: 1.73645538, 6: 1.73051176, 7: 1.72458492, 15: 1.77211373, 14: 1.7781239, 13: 1.78406564, 12: 1.79004694, 11: 1.79596038, 10: 1.80187324, 9: 1.80783595, 8: 1.81379329}"
8,8,"{0: 1.76976707, 1: 1.76386284, 2: 1.75787447, 3: 1.75192733, 4: 1.74593, 5: 1.74001611, 6: 1.73407626, 7: 1.72809396, 15: 1.77575412, 14: 1.78172435, 13: 1.78768418, 12: 1.79369274, 11: 1.79968178, 10: 1.80551021, 9: 1.81144744, 8: 1.81736421}"
9,9,"{0: 1.7737775, 1: 1.76778088, 2: 1.76181486, 3: 1.7558612, 4: 1.74989946, 5: 1.74395479, 6: 1.73801704, 7: 1.73203083, 15: 1.77980904, 14: 1.78578498, 13: 1.79175461, 12: 1.79769248, 11: 1.80366133, 10: 1.80959773, 9: 1.81557034, 8: 1.82153419}"
10,10,"{0: 1.77854031, 1: 1.77256764, 2: 1.7665396, 3: 1.76059641, 4: 1.7546034, 5: 1.74854956, 6: 1.74256848, 7: 1.73666205, 15: 1.7845336, 14: 1.79053362, 13: 1.79652456, 12: 1.80253249, 11: 1.80850355, 10: 1.81446539, 9: 1.82045278, 8: 1.82638956}"
11,11,"{0: 1.78400754, 1: 1.77797799, 2: 1.77196433, 3: 1.76598521, 4: 1.76003526, 5: 1.75403919, 6: 1.7480193, 7: 1.74207383, 15: 1.79003569, 14: 1.79600568, 13: 1.80199224, 12: 1.8080364, 11: 1.81412494, 10: 1.82005307, 9: 1.82603135, 8: 1.83200799}"
12,12,"{0: 1.79049865, 1: 1.78438919, 2: 1.77840547, 3: 1.77239694, 4: 1.76639908, 5: 1.76035123, 6: 1.75435589, 7: 1.74830743, 15: 1.79648266, 14: 1.80248987, 13: 1.80852256, 12: 1.81455673, 11: 1.82058249, 10: 1.82660355, 9: 1.8325841, 8: 1.83858184}"
13,13,"{0: 1.79819762, 1: 1.79209567, 2: 1.78610527, 3: 1.78004348, 4: 1.77397057, 5: 1.76791099, 6: 1.76188203, 7: 1.75584034, 15: 1.80419864, 14: 1.81030194, 13: 1.81631881, 12: 1.82239186, 11: 1.82845454, 10: 1.83442585, 9: 1.84050975, 8: 1.84655307}"
14,14,"{0: 1.80767873, 1: 1.80165176, 2: 1.79557217, 3: 1.7894924, 4: 1.78341206, 5: 1.77728137, 6: 1.77124384, 7: 1.76520544, 15: 1.81376518, 14: 1.81984284, 13: 1.82595663, 12: 1.83199195, 11: 1.83809769, 10: 1.8441327, 9: 1.85021576, 8: 1.85629751}"
15,15,"{0: 1.8194776, 1: 1.81336835, 2: 1.80728302, 3: 1.80112283, 4: 1.79502615, 5: 1.78887732, 6: 1.78283653, 7: 1.77671008, 15: 1.82559036, 14: 1.83169179, 13: 1.83789528, 12: 1.84403414, 11: 1.85010546, 10: 1.85619248, 9: 1.86237106, 8: 1.86851844}"
