,CurveSetCode,BandGapValue
0,0,"{0: 1.75012557, 1: 1.74420028, 2: 1.73824917, 3: 1.73240026, 4: 1.72658543, 5: 1.72064072, 6: 1.71471565, 7: 1.70886928, 15: 1.75605183, 14: 1.76195858, 13: 1.76774102, 12: 1.77367281, 11: 1.779611, 10: 1.78550476, 9: 1.79132203, 8: 1.79721244}"
1,1,"{0: 1.75183124, 1: 1.7458371, 2: 1.73994188, 3: 1.73406447, 4: 1.72819782, 5: 1.72229884, 6: 1.71638963, 7: 1.71056761, 15: 1.75767027, 14: 1.7635883, 13: 1.76951538, 12: 1.77541923, 11: 1.78132773, 10: 1.78724091, 9: 1.79312942, 8: 1.79896487}"
2,2,"{0: 1.75373246, 1: 1.74784346, 2: 1.74187861, 3: 1.73601822, 4: 1.73016553, 5: 1.72418669, 6: 1.71834371, 7: 1.71244059, 15: 1.75953583, 14: 1.7654639, 13: 1.77138757, 12: 1.77730806, 11: 1.78320489, 10: 1.78910341, 9: 1.79500358, 8: 1.80094767}"
3,3,"{0: 1.755788, 1: 1.74990989, 2: 1.74402683, 3: 1.73807496, 4: 1.73213713, 5: 1.7262111, 6: 1.72031221, 7: 1.71445843, 15: 1.76168164, 14: 1.76758356, 13: 1.77348572, 12: 1.77947039, 11: 1.78539753, 10: 1.79123148, 9: 1.79712582, 8: 1.80300277}"
4,4,"{0: 1.75807948, 1: 1.75216685, 2: 1.74623577, 3: 1.74028936, 4: 1.73440643, 5: 1.72841491, 6: 1.72254002, 7: 1.71667824, 15: 1.76398494, 14: 1.76989133, 13: 1.77580511, 12: 1.78178715, 11: 1.78767937, 10: 1.79356551, 9: 1.79949955, 8: 1.80541402}"
5,5,"{0: 1.76066707, 1: 1.75473322, 2: 1.7488367, 3: 1.74296964, 4: 1.73706595, 5: 1.73110585, 6: 1.72517284, 7: 1.71927429, 15: 1.76668932, 14: 1.77259206, 13: 1.77852735, 12: 1.78451623, 11: 1.7904875, 10: 1.79635751, 9: 1.80223296, 8: 1.8081278}"
6,6,"{0: 1.76363949, 1: 1.75772522, 2: 1.75176029, 3: 1.74586103, 4: 1.73995644, 5: 1.73392737, 6: 1.72801195, 7: 1.72211397, 15: 1.76956009, 14: 1.77549787, 13: 1.78135717, 12: 1.78736422, 11: 1.79331536, 10: 1.79924091, 9: 1.80518988, 8: 1.81115944}"
7,7,"{0: 1.76696356, 1: 1.76098525, 2: 1.75506028, 3: 1.74915029, 4: 1.74318798, 5: 1.73720919, 6: 1.73124806, 7: 1.72529175, 15: 1.77281398, 14: 1.77879994, 13: 1.78474023, 12: 1.79068828, 11: 1.79665906, 10: 1.80258892, 9: 1.80851624, 8: 1.81447091}"
8,8,"{0: 1.77056295, 1: 1.7646257, 2: 1.75866842, 3: 1.75272492, 4: 1.74679377, 5: 1.74079949, 6: 1.73490141, 7: 1.7289223, 15: 1.77666615, 14: 1.78258357, 13: 1.78848527, 12: 1.79444288, 11: 1.80039337, 10: 1.80637791, 9: 1.81237376, 8: 1.81828844}"
9,9,"{0: 1.7747035, 1: 1.76882985, 2: 1.76286363, 3: 1.75690419, 4: 1.75090686, 5: 1.74494647, 6: 1.73893137, 7: 1.7329334, 15: 1.78073256, 14: 1.78671409, 13: 1.79269475, 12: 1.79866817, 11: 1.80466846, 10: 1.81063317, 9: 1.81656208, 8: 1.82255045}"
10,10,"{0: 1.77966986, 1: 1.77366704, 2: 1.76765624, 3: 1.76173406, 4: 1.75576445, 5: 1.74970756, 6: 1.74371683, 7: 1.737742, 15: 1.78567863, 14: 1.79167793, 13: 1.79767118, 12: 1.80369577, 11: 1.80964211, 10: 1.81560023, 9: 1.82163183, 8: 1.82757414}"
11,11,"{0: 1.78538336, 1: 1.77935402, 2: 1.77334401, 3: 1.76733409, 4: 1.76134124, 5: 1.75533116, 6: 1.74939019, 7: 1.74340042, 15: 1.79146151, 14: 1.79742167, 13: 1.80346197, 12: 1.80945264, 11: 1.81547954, 10: 1.82144432, 9: 1.82740951, 8: 1.83341513}"
12,12,"{0: 1.79210487, 1: 1.78607126, 2: 1.78001061, 3: 1.77397357, 4: 1.76801199, 5: 1.76194397, 6: 1.75590939, 7: 1.74989867, 15: 1.79812568, 14: 1.80417754, 13: 1.81020514, 12: 1.81617838, 11: 1.82225282, 10: 1.82821261, 9: 1.83431802, 8: 1.84028502}"
13,13,"{0: 1.80008178, 1: 1.79398958, 2: 1.78799895, 3: 1.78192512, 4: 1.77583329, 5: 1.76976989, 6: 1.76376108, 7: 1.75771657, 15: 1.80612395, 14: 1.81219871, 13: 1.81823255, 12: 1.82431053, 11: 1.83037818, 10: 1.83637099, 9: 1.84245514, 8: 1.84843121}"
14,14,"{0: 1.8099331, 1: 1.80382352, 2: 1.79771536, 3: 1.79161797, 4: 1.78554055, 5: 1.77948418, 6: 1.77335609, 7: 1.76727466, 15: 1.81600318, 14: 1.82205571, 13: 1.82811306, 12: 1.83419883, 11: 1.84031648, 10: 1.84639172, 9: 1.85244339, 8: 1.8585259}"
15,15,"{0: 1.82214167, 1: 1.81601039, 2: 1.80987619, 3: 1.80381294, 4: 1.79764769, 5: 1.79153127, 6: 1.78545174, 7: 1.77928374, 15: 1.82832978, 14: 1.83448364, 13: 1.840511, 12: 1.8466277, 11: 1.85278803, 10: 1.85897998, 9: 1.8650291, 8: 1.87115149}"
