,CurveSetCode,BandGapValue
0,0,"{0: 1.74897611, 1: 1.74309708, 2: 1.73714509, 3: 1.73129681, 4: 1.72545352, 5: 1.71950743, 6: 1.71361603, 7: 1.70772599, 15: 1.7548247, 14: 1.76072432, 13: 1.76660462, 12: 1.77250307, 11: 1.77842064, 10: 1.78424169, 9: 1.79010992, 8: 1.79593888}"
1,1,"{0: 1.75082252, 1: 1.74490586, 2: 1.73903481, 3: 1.73313615, 4: 1.72721507, 5: 1.72133402, 6: 1.7154869, 7: 1.70959346, 15: 1.7567449, 14: 1.76268971, 13: 1.76854452, 12: 1.77442415, 11: 1.7803253, 10: 1.78621087, 9: 1.79215837, 8: 1.79797507}"
2,2,"{0: 1.75297947, 1: 1.74707996, 2: 1.7411231, 3: 1.73519705, 4: 1.72933261, 5: 1.72346507, 6: 1.71755675, 7: 1.71167447, 15: 1.75885483, 14: 1.76479717, 13: 1.77064066, 12: 1.77653945, 11: 1.78240676, 10: 1.78830549, 9: 1.79424757, 8: 1.80014525}"
3,3,"{0: 1.75524233, 1: 1.74937091, 2: 1.74347709, 3: 1.73750831, 4: 1.73156376, 5: 1.72566376, 6: 1.71981513, 7: 1.71390574, 15: 1.76116108, 14: 1.76710422, 13: 1.77301189, 12: 1.77889221, 11: 1.78480031, 10: 1.79069865, 9: 1.79660356, 8: 1.8024384}"
4,4,"{0: 1.75779139, 1: 1.75188684, 2: 1.74597897, 3: 1.74006813, 4: 1.73415668, 5: 1.72816645, 6: 1.72233577, 7: 1.71643729, 15: 1.76369902, 14: 1.76967376, 13: 1.77562092, 12: 1.78154132, 11: 1.78742256, 10: 1.79327774, 9: 1.79924572, 8: 1.8052038}"
5,5,"{0: 1.76066009, 1: 1.75471239, 2: 1.74877475, 3: 1.74289768, 4: 1.7369633, 5: 1.73097799, 6: 1.72513426, 7: 1.71915696, 15: 1.76660828, 14: 1.77252851, 13: 1.7784072, 12: 1.78438051, 11: 1.79024824, 10: 1.79618196, 9: 1.80210918, 8: 1.80803628}"
6,6,"{0: 1.76382965, 1: 1.75786062, 2: 1.75190179, 3: 1.74598321, 4: 1.74006494, 5: 1.73409382, 6: 1.72811063, 7: 1.72220344, 15: 1.76970911, 14: 1.77566344, 13: 1.7815484, 12: 1.78751014, 11: 1.79350017, 10: 1.79939364, 9: 1.80530161, 8: 1.81117203}"
7,7,"{0: 1.76734204, 1: 1.76136642, 2: 1.75548278, 3: 1.74956494, 4: 1.74352113, 5: 1.73756063, 6: 1.73167315, 7: 1.72571831, 15: 1.77324355, 14: 1.77918389, 13: 1.78515708, 12: 1.79113422, 11: 1.79711376, 10: 1.80298381, 9: 1.80886836, 8: 1.81484003}"
8,8,"{0: 1.77135843, 1: 1.7653657, 2: 1.75942602, 3: 1.7534835, 4: 1.74750577, 5: 1.74150387, 6: 1.73556334, 7: 1.72960131, 15: 1.77724757, 14: 1.78323971, 13: 1.78924567, 12: 1.79520278, 11: 1.80113197, 10: 1.8070215, 9: 1.81305936, 8: 1.81902632}"
9,9,"{0: 1.77590743, 1: 1.7699394, 2: 1.76402835, 3: 1.75802421, 4: 1.7520292, 5: 1.7460477, 6: 1.74011441, 7: 1.73413055, 15: 1.78187198, 14: 1.78786322, 13: 1.79380046, 12: 1.79983905, 11: 1.80581449, 10: 1.81178566, 9: 1.81775781, 8: 1.82368008}"
10,10,"{0: 1.78123432, 1: 1.77516219, 2: 1.76924892, 3: 1.76330802, 4: 1.75732698, 5: 1.75127058, 6: 1.74525269, 7: 1.73932746, 15: 1.78716119, 14: 1.79318359, 13: 1.79923362, 12: 1.80525786, 11: 1.81119528, 10: 1.81713036, 9: 1.82316122, 8: 1.82909887}"
11,11,"{0: 1.78745763, 1: 1.78143701, 2: 1.7754169, 3: 1.76935493, 4: 1.76339214, 5: 1.75731233, 6: 1.75135164, 7: 1.74537606, 15: 1.79344762, 14: 1.79939954, 13: 1.80537918, 12: 1.81152703, 11: 1.81752033, 10: 1.82344264, 9: 1.82949648, 8: 1.8355253}"
12,12,"{0: 1.79473806, 1: 1.78871043, 2: 1.7827248, 3: 1.7766591, 4: 1.77055091, 5: 1.76453433, 6: 1.75860333, 7: 1.75254422, 15: 1.80078774, 14: 1.80686612, 13: 1.81287476, 12: 1.81887579, 11: 1.82483949, 10: 1.83086903, 9: 1.83695983, 8: 1.8430175}"
13,13,"{0: 1.80340315, 1: 1.79739579, 2: 1.79133633, 3: 1.78521956, 4: 1.77917111, 5: 1.77312626, 6: 1.76702044, 7: 1.76091596, 15: 1.80944434, 14: 1.81551282, 13: 1.82162083, 12: 1.82759259, 11: 1.83368913, 10: 1.83980312, 9: 1.84593195, 8: 1.85190682}"
14,14,"{0: 1.8141317, 1: 1.80802821, 2: 1.80191384, 3: 1.79577481, 4: 1.78969612, 5: 1.78360643, 6: 1.77749774, 7: 1.77136744, 15: 1.82019485, 14: 1.82633346, 13: 1.83238234, 12: 1.83844981, 11: 1.84452898, 10: 1.85064381, 9: 1.85678165, 8: 1.86282457}"
15,15,"{0: 1.82737018, 1: 1.82124606, 2: 1.81512874, 3: 1.80898063, 4: 1.80276851, 5: 1.79668908, 6: 1.79055959, 7: 1.78438651, 15: 1.83351187, 14: 1.8397252, 13: 1.84580127, 12: 1.85191262, 11: 1.85810536, 10: 1.86423577, 9: 1.87035372, 8: 1.87641429}"
