,CurveSetCode,BandGapValue
0,0,"{0: 1.75214025, 1: 1.74639156, 2: 1.74055153, 3: 1.73459899, 4: 1.72865824, 5: 1.72284365, 6: 1.71702958, 7: 1.7111616, 15: 1.75793844, 14: 1.76377967, 13: 1.76971679, 12: 1.77563827, 11: 1.7814898, 10: 1.78725227, 9: 1.7931205, 8: 1.79904891}"
1,1,"{0: 1.75435378, 1: 1.74837648, 2: 1.7425973, 3: 1.73679243, 4: 1.73087303, 5: 1.72489325, 6: 1.71908687, 7: 1.7132833, 15: 1.76023149, 14: 1.76604622, 13: 1.77188899, 12: 1.77783084, 11: 1.78372366, 10: 1.78961291, 9: 1.79547325, 8: 1.80123713}"
2,2,"{0: 1.75686649, 1: 1.7509219, 2: 1.7449864, 3: 1.73915987, 4: 1.7333455, 5: 1.72742154, 6: 1.72142675, 7: 1.71557451, 15: 1.76266174, 14: 1.76858265, 13: 1.77441143, 12: 1.78028039, 11: 1.78620126, 10: 1.79207955, 9: 1.7979119, 8: 1.80371563}"
3,3,"{0: 1.75958004, 1: 1.75362238, 2: 1.74766646, 3: 1.74179384, 4: 1.73595576, 5: 1.73005613, 6: 1.72408037, 7: 1.71823914, 15: 1.76536466, 14: 1.77124169, 13: 1.77710454, 12: 1.78304989, 11: 1.78901247, 10: 1.79483762, 9: 1.80073588, 8: 1.80660807}"
4,4,"{0: 1.76244146, 1: 1.75664595, 2: 1.75066341, 3: 1.7446974, 4: 1.73881342, 5: 1.73296009, 6: 1.72690532, 7: 1.7209322, 15: 1.76779542, 14: 1.77416728, 13: 1.78020188, 12: 1.78542242, 11: 1.79242096, 10: 1.79783869, 9: 1.80371536, 8: 1.80965905}"
5,5,"{0: 1.76577525, 1: 1.7599189, 2: 1.75390647, 3: 1.74800094, 4: 1.74217868, 5: 1.73622244, 6: 1.73019947, 7: 1.72436503, 15: 1.77156182, 14: 1.77747787, 13: 1.78344386, 12: 1.78938922, 11: 1.79533667, 10: 1.80117616, 9: 1.80697462, 8: 1.81295037}"
6,6,"{0: 1.7694027, 1: 1.76354712, 2: 1.75767861, 3: 1.75169603, 4: 1.74574607, 5: 1.73992099, 6: 1.7340379, 7: 1.72798552, 15: 1.7753589, 14: 1.7813568, 13: 1.78719783, 12: 1.79311733, 11: 1.79909009, 10: 1.80496039, 9: 1.810813, 8: 1.8167149}"
7,7,"{0: 1.77364225, 1: 1.76760144, 2: 1.76170172, 3: 1.75581827, 4: 1.74982716, 5: 1.74383172, 6: 1.73800912, 7: 1.73206497, 15: 1.7794097, 14: 1.78542847, 13: 1.79143424, 12: 1.79729826, 11: 1.8031889, 10: 1.80918781, 9: 1.81519338, 8: 1.82100774}"
8,8,"{0: 1.77840967, 1: 1.77245185, 2: 1.76637828, 3: 1.7604792, 4: 1.75461055, 5: 1.74856626, 6: 1.74261629, 7: 1.73676267, 15: 1.78425726, 14: 1.79017943, 13: 1.79616159, 12: 1.80219283, 11: 1.8081133, 10: 1.81402577, 9: 1.81997145, 8: 1.82591839}"
9,9,"{0: 1.78369993, 1: 1.77769918, 2: 1.77172245, 3: 1.76584512, 4: 1.75986696, 5: 1.75377104, 6: 1.74779484, 7: 1.74191983, 15: 1.78957744, 14: 1.79550441, 13: 1.80152517, 12: 1.80756008, 11: 1.81349361, 10: 1.81951254, 9: 1.82547008, 8: 1.8313756}"
10,10,"{0: 1.78995203, 1: 1.78396738, 2: 1.77790578, 3: 1.77191805, 4: 1.76607582, 5: 1.7599886, 6: 1.75399137, 7: 1.74803807, 15: 1.79582337, 14: 1.80181767, 13: 1.80781871, 12: 1.81389819, 11: 1.81983639, 10: 1.82572927, 9: 1.83177443, 8: 1.83779249}"
11,11,"{0: 1.79713156, 1: 1.7911546, 2: 1.78518048, 3: 1.77910905, 4: 1.77307782, 5: 1.76709688, 6: 1.76115427, 7: 1.75510249, 15: 1.80314963, 14: 1.80920459, 13: 1.81524849, 12: 1.82121754, 11: 1.8271485, 10: 1.83323408, 9: 1.83931025, 8: 1.84535207}"
12,12,"{0: 1.80580228, 1: 1.79974866, 2: 1.79364772, 3: 1.78759122, 4: 1.78164891, 5: 1.77556353, 6: 1.76955543, 7: 1.76347095, 15: 1.81181087, 14: 1.81790071, 13: 1.82385675, 12: 1.82993016, 11: 1.83605136, 10: 1.84205306, 9: 1.84802627, 8: 1.85402686}"
13,13,"{0: 1.81604401, 1: 1.80995075, 2: 1.80383134, 3: 1.79778588, 4: 1.79168918, 5: 1.78557283, 6: 1.77956089, 7: 1.77352247, 15: 1.82202977, 14: 1.82808512, 13: 1.83415578, 12: 1.84028998, 11: 1.84629342, 10: 1.85234873, 9: 1.85845939, 8: 1.86453291}"
14,14,"{0: 1.82851832, 1: 1.82242199, 2: 1.81622569, 3: 1.81013056, 4: 1.8040816, 5: 1.79796895, 6: 1.79176505, 7: 1.78573553, 15: 1.83460452, 14: 1.8406676, 13: 1.84684484, 12: 1.8529814, 11: 1.85911964, 10: 1.86514647, 9: 1.87122795, 8: 1.87736498}"
15,15,"{0: 1.84403961, 1: 1.83792011, 2: 1.83179977, 3: 1.82560017, 4: 1.81940554, 5: 1.81327174, 6: 1.8071747, 7: 1.80097252, 15: 1.85022642, 14: 1.85646626, 13: 1.86263632, 12: 1.86869918, 11: 1.87483901, 10: 1.88109378, 9: 1.88723366, 8: 1.89343334}"
