,CurveSetCode,BandGapValue
0,0,"{0: 1.74928627, 1: 1.74338394, 2: 1.73751897, 3: 1.73164527, 4: 1.72576764, 5: 1.71990206, 6: 1.71400026, 7: 1.70816694, 15: 1.75512857, 14: 1.76107284, 13: 1.7669919, 12: 1.77281273, 11: 1.77872155, 10: 1.78457484, 9: 1.7904236, 8: 1.79626988}"
1,1,"{0: 1.75135318, 1: 1.74556279, 2: 1.73964407, 3: 1.73367026, 4: 1.72785516, 5: 1.72200271, 6: 1.71606176, 7: 1.71015954, 15: 1.75726379, 14: 1.76320556, 13: 1.76900665, 12: 1.77485951, 11: 1.7808144, 10: 1.78670369, 9: 1.79255635, 8: 1.79838519}"
2,2,"{0: 1.75371743, 1: 1.74779367, 2: 1.74187895, 3: 1.73603913, 4: 1.73012837, 5: 1.72418893, 6: 1.71829685, 7: 1.71245238, 15: 1.75957313, 14: 1.76542619, 13: 1.77133001, 12: 1.77727369, 11: 1.78308936, 10: 1.7889979, 9: 1.79495386, 8: 1.80080309}"
3,3,"{0: 1.75622261, 1: 1.7503198, 2: 1.74442392, 3: 1.73851541, 4: 1.73255709, 5: 1.72663847, 6: 1.72080932, 7: 1.71490236, 15: 1.76206482, 14: 1.76797254, 13: 1.77395177, 12: 1.7798432, 11: 1.78569571, 10: 1.79154762, 9: 1.7975014, 8: 1.8033898}"
4,4,"{0: 1.75900923, 1: 1.7531095, 2: 1.74721737, 3: 1.74133303, 4: 1.73539161, 5: 1.72945488, 6: 1.72354751, 7: 1.71768707, 15: 1.76499793, 14: 1.77085273, 13: 1.77679328, 12: 1.78272287, 11: 1.78867709, 10: 1.79453527, 9: 1.8004532, 8: 1.80635968}"
5,5,"{0: 1.76216623, 1: 1.75629451, 2: 1.75033855, 3: 1.74440468, 4: 1.73850096, 5: 1.73257937, 6: 1.7267144, 7: 1.72081531, 15: 1.76811222, 14: 1.77409216, 13: 1.7800522, 12: 1.78592037, 11: 1.79185711, 10: 1.7977709, 9: 1.80374317, 8: 1.80956955}"
6,6,"{0: 1.7657834, 1: 1.75986457, 2: 1.75387201, 3: 1.74787676, 4: 1.7419707, 5: 1.73608348, 6: 1.73013687, 7: 1.7241721, 15: 1.77165301, 14: 1.77762743, 13: 1.78356531, 12: 1.78941114, 11: 1.7953909, 10: 1.80139893, 9: 1.80730876, 8: 1.8131868}"
7,7,"{0: 1.76976289, 1: 1.76377682, 2: 1.75778337, 3: 1.7518948, 4: 1.74597649, 5: 1.7400083, 6: 1.73402773, 7: 1.7281229, 15: 1.77568354, 14: 1.78164492, 13: 1.78767127, 12: 1.79362603, 11: 1.79952874, 10: 1.8054084, 9: 1.81144624, 8: 1.81732643}"
8,8,"{0: 1.77420241, 1: 1.76827668, 2: 1.76230718, 3: 1.75633224, 4: 1.75035278, 5: 1.74446928, 6: 1.73847894, 7: 1.73248907, 15: 1.78021463, 14: 1.78609905, 13: 1.79207532, 12: 1.79810885, 11: 1.80406067, 10: 1.80996261, 9: 1.81600339, 8: 1.82192141}"
9,9,"{0: 1.77930787, 1: 1.77335748, 2: 1.76745426, 3: 1.76143232, 4: 1.75536215, 5: 1.74947044, 6: 1.74351041, 7: 1.73744842, 15: 1.78530423, 14: 1.79133332, 13: 1.79719377, 12: 1.80322716, 11: 1.80916174, 10: 1.81516396, 9: 1.82125322, 8: 1.82714815}"
10,10,"{0: 1.78526021, 1: 1.77930106, 2: 1.77322484, 3: 1.76715883, 4: 1.7612333, 5: 1.7552841, 6: 1.74919169, 7: 1.74318945, 15: 1.79124242, 14: 1.79719432, 13: 1.80315336, 12: 1.80919913, 11: 1.81524521, 10: 1.82119495, 9: 1.82713313, 8: 1.83306212}"
11,11,"{0: 1.7921391, 1: 1.78606016, 2: 1.78002153, 3: 1.77412689, 4: 1.76806262, 5: 1.76196966, 6: 1.75595379, 7: 1.75002983, 15: 1.79812569, 14: 1.80413771, 13: 1.81011433, 12: 1.81617517, 11: 1.82221748, 10: 1.82814886, 9: 1.83417745, 8: 1.84021844}"
12,12,"{0: 1.80014722, 1: 1.79414724, 2: 1.78805356, 3: 1.78203662, 4: 1.77609716, 5: 1.77000823, 6: 1.76392128, 7: 1.75790065, 15: 1.80628907, 14: 1.81232215, 13: 1.81830754, 12: 1.82440375, 11: 1.8305092, 10: 1.83653384, 9: 1.84252129, 8: 1.84859303}"
13,13,"{0: 1.80990658, 1: 1.80380453, 2: 1.79771579, 3: 1.79170783, 4: 1.78569503, 5: 1.7795188, 6: 1.77343159, 7: 1.76737449, 15: 1.81599344, 14: 1.82207298, 13: 1.82808856, 12: 1.83412361, 11: 1.84026379, 10: 1.84636425, 9: 1.85245422, 8: 1.8584454}"
14,14,"{0: 1.82183552, 1: 1.8156837, 2: 1.80956324, 3: 1.80345755, 4: 1.79736415, 5: 1.79126873, 6: 1.78509979, 7: 1.77906093, 15: 1.82792374, 14: 1.83403468, 13: 1.84014189, 12: 1.84628941, 11: 1.85248668, 10: 1.85856538, 9: 1.86466186, 8: 1.87078638}"
15,15,"{0: 1.83669019, 1: 1.83049524, 2: 1.82438464, 3: 1.81816097, 4: 1.8119339, 5: 1.80580373, 6: 1.79968473, 7: 1.79348788, 15: 1.84277444, 14: 1.84899457, 13: 1.85514265, 12: 1.86126911, 11: 1.867473, 10: 1.87366859, 9: 1.87982077, 8: 1.88590846}"
