,CurveSetCode,BandGapValue
0,0,"{0: 1.74619324, 1: 1.74030959, 2: 1.73444719, 3: 1.72858702, 4: 1.7226809, 5: 1.71682971, 6: 1.71092592, 7: 1.70509776, 15: 1.75211068, 14: 1.75802326, 13: 1.76389496, 12: 1.76977759, 11: 1.77567996, 10: 1.78150478, 9: 1.7874046, 8: 1.79319703}"
1,1,"{0: 1.74768994, 1: 1.74182737, 2: 1.73594571, 3: 1.73004766, 4: 1.72417408, 5: 1.71828547, 6: 1.71238628, 7: 1.70652684, 15: 1.75358714, 14: 1.7594828, 13: 1.76536281, 12: 1.77127353, 11: 1.77717161, 10: 1.78301062, 9: 1.78892846, 8: 1.79478033}"
2,2,"{0: 1.74937557, 1: 1.74352306, 2: 1.73765572, 3: 1.73168264, 4: 1.72586289, 5: 1.71996309, 6: 1.71406782, 7: 1.70819478, 15: 1.75528726, 14: 1.76123468, 13: 1.76710093, 12: 1.77300396, 11: 1.77890519, 10: 1.7847935, 9: 1.7906609, 8: 1.79649875}"
3,3,"{0: 1.75123428, 1: 1.74537176, 2: 1.73942632, 3: 1.73349023, 4: 1.72756552, 5: 1.72176263, 6: 1.71590762, 7: 1.70994734, 15: 1.75709273, 14: 1.76306952, 13: 1.76893745, 12: 1.77485406, 11: 1.78070046, 10: 1.78656552, 9: 1.79242224, 8: 1.79834927}"
4,4,"{0: 1.7531375, 1: 1.74723641, 2: 1.74136896, 3: 1.73545096, 4: 1.7295516, 5: 1.72364799, 6: 1.71775335, 7: 1.71185756, 15: 1.75904744, 14: 1.76500316, 13: 1.77089124, 12: 1.77671338, 11: 1.78260178, 10: 1.78849445, 9: 1.79443061, 8: 1.8003549}"
5,5,"{0: 1.75533136, 1: 1.74943086, 2: 1.74356384, 3: 1.7376219, 4: 1.73168942, 5: 1.72579199, 6: 1.7198679, 7: 1.71400418, 15: 1.76127713, 14: 1.76718305, 13: 1.77307689, 12: 1.7789661, 11: 1.78487914, 10: 1.79078053, 9: 1.79674315, 8: 1.80263359}"
6,6,"{0: 1.75779524, 1: 1.75194065, 2: 1.746043, 3: 1.74015888, 4: 1.73416806, 5: 1.72826347, 6: 1.72237344, 7: 1.71643707, 15: 1.76370153, 14: 1.76966946, 13: 1.77555327, 12: 1.7814842, 11: 1.78742273, 10: 1.79328774, 9: 1.79915864, 8: 1.80508365}"
7,7,"{0: 1.76063734, 1: 1.75462948, 2: 1.7486886, 3: 1.74282091, 4: 1.73693772, 5: 1.73097272, 6: 1.72504826, 7: 1.7192097, 15: 1.76663091, 14: 1.7724361, 13: 1.77844633, 12: 1.78434446, 11: 1.79027056, 10: 1.79619831, 9: 1.80214811, 8: 1.80800781}"
8,8,"{0: 1.7637691, 1: 1.75782831, 2: 1.75196918, 3: 1.74605112, 4: 1.74007441, 5: 1.73405834, 6: 1.72820969, 7: 1.72222176, 15: 1.76977332, 14: 1.77568213, 13: 1.78163788, 12: 1.78757766, 11: 1.79352646, 10: 1.79945587, 9: 1.80531904, 8: 1.81126074}"
9,9,"{0: 1.76736711, 1: 1.76147189, 2: 1.7555371, 3: 1.74953807, 4: 1.74365955, 5: 1.73771928, 6: 1.73172437, 7: 1.72578501, 15: 1.77349121, 14: 1.7793756, 13: 1.78528805, 12: 1.7912654, 11: 1.79719888, 10: 1.80313668, 9: 1.80898455, 8: 1.81492266}"
10,10,"{0: 1.77163312, 1: 1.76568731, 2: 1.75969242, 3: 1.75376603, 4: 1.74774174, 5: 1.7417881, 6: 1.73584023, 7: 1.72989232, 15: 1.77753792, 14: 1.78346337, 13: 1.78949143, 12: 1.7954958, 11: 1.80143911, 10: 1.80737214, 9: 1.81329306, 8: 1.81928091}"
11,11,"{0: 1.77646886, 1: 1.77051461, 2: 1.76453764, 3: 1.75857384, 4: 1.75259203, 5: 1.74657829, 6: 1.74066173, 7: 1.73464611, 15: 1.78243826, 14: 1.78841082, 13: 1.79442108, 12: 1.80040715, 11: 1.80636258, 10: 1.81236133, 9: 1.81826582, 8: 1.82431123}"
12,12,"{0: 1.78225488, 1: 1.77619526, 2: 1.77023864, 3: 1.76424819, 4: 1.75823778, 5: 1.75224169, 6: 1.74633588, 7: 1.74027727, 15: 1.78823961, 14: 1.79418716, 13: 1.80024036, 12: 1.80629281, 11: 1.81234779, 10: 1.81822543, 9: 1.82419086, 8: 1.83021929}"
13,13,"{0: 1.78917796, 1: 1.78324835, 2: 1.77715977, 3: 1.77108314, 4: 1.76509176, 5: 1.75904472, 6: 1.75305254, 7: 1.74705879, 15: 1.79517736, 14: 1.80124492, 13: 1.80726149, 12: 1.81322302, 11: 1.81929436, 10: 1.82527963, 9: 1.83134052, 8: 1.83728913}"
14,14,"{0: 1.79765778, 1: 1.79162114, 2: 1.78560424, 3: 1.77950768, 4: 1.77347471, 5: 1.76738525, 6: 1.76132046, 7: 1.75530545, 15: 1.80367285, 14: 1.80965979, 13: 1.81568212, 12: 1.82175482, 11: 1.82784307, 10: 1.83385781, 9: 1.83986493, 8: 1.84585606}"
15,15,"{0: 1.80811811, 1: 1.80199088, 2: 1.79585103, 3: 1.78985762, 4: 1.78383807, 5: 1.77774027, 6: 1.7716405, 7: 1.7655865, 15: 1.81418554, 14: 1.82028167, 13: 1.82635518, 12: 1.8323832, 11: 1.83853393, 10: 1.84458453, 9: 1.85066511, 8: 1.85670867}"
